Numero registro,Organismo,Sito da registro,Stato ricerca,Pagine lette,PEC rilevate da revisionare,Documentazione API da verificare,Fonti,Problemi
235,ACCORDIAMOCI SRL,www.accordiamoci.com,contatti_da_revisionare,5,,,https://www.accordiamoci.com/; https://www.accordiamoci.com/?q=news/giustizia-77-italiani-su-100-non-conoscono-la-legge-sulla-mediazione-civile-e-commerciale; https://www.accordiamoci.com/?q=news/la-mediazione-civile-%C3%A8-contrasto-con-la-risoluzione-alternativa-delle-controversie-dei; https://www.accordiamoci.com/?q=news/giustizia-pi%C3%B9-breve-e-meno-costosa-al-soroptmist-si-%C3%A8-parlato-di-mediazione-civile; https://www.accordiamoci.com/?q=sedi,
1103,AD. RESOLUTION S.R.L.,www.ad-resolution.it,istruzioni_pec_da_revisionare,5,adresolution@pec.it; segreteria@ad.resolution,,https://www.ad-resolution.it/; https://www.ad-resolution.it/2025/03/20/sentenza-storica-del-tar-lazio-confermata-la-legittimita-della-riforma-sulla-mediazione-civile/; https://www.ad-resolution.it/deposito-istanza/; https://www.ad-resolution.it/sedi/; https://www.ad-resolution.it/contatti/,
1133,ADR ATENA S.R.L.,www.adratena.it,contatti_da_revisionare,6,adratena@pec.it,https://api.whatsapp.com/send?phone=+393921505431&text=Buongiorno,https://www.adratena.it/; https://www.adratena.it/modulistica/; https://www.adratena.it/contatti/; https://www.adratena.it/sedi/; https://www.adratena.it/regolamento-di-mediazione-2/; https://www.adratena.it/privacy-policy-2/,
73,ADR CONCILIAMO SRL,www.adrconciliamo.it,contatti_da_revisionare,6,adr.conciliamo@legalmail.it,,https://www.adrconciliamo.it/; https://www.adrconciliamo.it/risorse/; https://www.adrconciliamo.it/modulistica/; https://www.adrconciliamo.it/contatto/; https://www.adrconciliamo.it/apparentamento/; https://www.adrconciliamo.it/regolamento-organismo/,
1,ADR Center srl,www.adrcenter.it,contatti_da_revisionare,7,adr@pec.adrcenter.com; castrovillari@adrcenter.com; castrovillari@pec.adrcenter.com; catanzaro@adrcenter.com; catanzaro@pec.adrcenter.com; cosenza@adrcenter.com; cosenza@pec.adrcenter.com; crotone@adrcenter.com; crotone@pec.adrcenter.com; info@adrcenter.com; lameziaterme@adrcenter.com; lameziaterme@pec.adrcenter.com; locri@adrcenter.com; locri@pec.adrcenter.com; milano@pec.adrcenter.com; palmi@adrcenter.com; palmi@pec.adrcenter.com; paola@adrcenter.com; paola@pec.adrcenter.com; reggiocalabria@adrcenter.com; reggiocalabria@pec.adrcenter.com; roma@pec.adrcenter.com; vibovalentia@adrcenter.com; vibovalentia@pec.adrcenter.com,,https://adrcenter.it/; https://adrcenter.it/diffamazione-sui-social-network/; https://adrcenter.it/deposito-mediazione/; https://adrcenter.it/mediazione/modulistica/; https://adrcenter.it/sedi/roma/; https://adrcenter.it/sedi/milano/; https://adrcenter.it/sedi/?jsf=epro-loop-builder:ed-query-sedi&tax=localita-sede:calabria,"ReadTimeoutError: HTTPSConnectionPool(host='35.214.131.247', port=443): Read timed out. (read timeout=6)"
921,ADR Company,www.adrcompany.it,fonti_senza_canale_rilevato,1,,,https://adrcompany.com/,Reindirizzamento a diverso dominio: titolarità da verificare
1116,ADR Conciliazione S.r.l.,www.conciliazione-adr.it,contatti_da_revisionare,8,info.conciliazione@pec.it,,https://conciliazione-adr.it/; https://conciliazione-adr.it/mediazione-civile-e-commerciale/; https://conciliazione-adr.it/modulistica-mediazione-civile-e-commerciale/; https://conciliazione-adr.it/modulistica-mediazione-familiare/; https://conciliazione-adr.it/modulistica-conciliazione-in-materia-di-consumo/; https://conciliazione-adr.it/modulisica-smart/; https://conciliazione-adr.it/conciliazione-in-materia-di-consumo-2/; https://conciliazione-adr.it/sedi/,
1082,ADR Concordia polis srl,www.concordiapolis.it,istruzioni_pec_da_revisionare,2,concordia.polis@pec.it,,https://www.concordiapolis.it/; https://www.concordiapolis.it/mediazione-regolamento.html,
643,ADR DIKE MEDIAZIONE E ARBITRATO S.R.L.,www.adrdike.it,contatti_da_revisionare,6,adrdike@pec.it; info@adrdike.itpec,,https://www.adrdike.it/; https://www.adrdike.it/modulistica/; https://www.adrdike.it/modulistica/; https://www.adrdike.it/contact/; https://www.adrdike.it/sedi-2/; https://www.adrdike.it/privacy/,
1071,ADR EUROPA S.R.L.,www.adreuropa.it,contatti_da_revisionare,5,adr@pec.adreuropa.it; segreteria@adreuropa.it,,https://www.adreuropa.it/; https://www.adreuropa.it/modulistica.php; https://www.adreuropa.it/sedi.php; https://www.adreuropa.it/contatti.php; https://www.adreuropa.it/privacy-policy.php,
1139,ADR EVA CONSULTING S.R.L.,adrevaconsulting.it,fonte_non_raggiunta,0,,,,"ProtocolError: ('Connection aborted.', ConnectionResetError(10054, ""Connessione in corso interrotta forzatamente dall'host remoto"", None, 10054, None))"
1137,ADR FORO EUROPEO S.R.L.,adrforoeuropeo.it,fonte_non_raggiunta,0,,,,SSLError: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1077)
272,ADR Forum,www.adrforum.it,contatti_da_revisionare,7,adrforum@pec.it; segreteria.adrforum@gmail.com,,https://www.adrforum.it/; https://www.adrforum.it/una-sezione-della-homepage/; https://www.adrforum.it/contatti/; https://www.adrforum.it/sample-page/; https://www.adrforum.it/privacy-policy/; https://www.adrforum.it/2024/08/20/regolamento-di-procedura/; https://www.adrforum.it/2024/08/20/regolamenti-di-procedura/,
1046,ADR GROUP S.R.L.,www.adrgroup.info,contatti_da_revisionare,8,adrgroup@pec.it; segreteria@adrgroup.info,,https://adrgroup.info/; https://adrgroup.info/News.aspx; https://adrgroup.info/AvviaMediazione.aspx; https://adrgroup.info/Moduli.aspx; https://adrgroup.info/Contatti.aspx; https://adrgroup.info/Contatti.aspx?subject=0; https://adrgroup.info/Sedi.aspx; https://adrgroup.info/Contatti.aspx?subject=1,
388,ADR INSTITUTE,ADRINSTITUTE.IT,fonte_non_raggiunta,0,,,,SSLError: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1077)
1032,ADR ITALIA MEDIAZIONI E CONCILIAZIONI SRL,www.adritaliaconciliazioni.it,fonte_non_raggiunta,0,,,,gaierror: [Errno 11001] getaddrinfo failed
1142,ADR IUS CONFLICT MANAGEMENT S.R.L..,www.adrius.it,istruzioni_pec_da_revisionare,4,segrerteria.adrius@pec.it; segreteria.adrius@pec.it,,https://www.adrius.it/; https://www.adrius.it/avvia-una-mediazione-2/; https://www.adrius.it/sedi-e-contatti/; https://www.adrius.it/regolamento-e-codice-etico/,
64,ADR LOGOS di ALTERA QUAESTIO,www.alteraquaestio.com,fonti_senza_canale_rilevato,1,,,https://alteraquaestio.com/,
832,ADR MED,www.adrmed.it,fonte_non_raggiunta,0,,,,SSLError: hostname 'www.adrmed.it' doesn't match 'gises.associazionert.it'
156,ADR MEDIAZIONE FACILE,www.adrmediazionefacile.com,contatti_da_revisionare,7,adrmediazionefacile@pec.it,,https://www.adrmediazionefacile.com/; https://www.adrmediazionefacile.com/modulistica; https://www.adrmediazionefacile.com/sede-legale; https://www.adrmediazionefacile.com/sedi-decentrate; https://www.adrmediazionefacile.com/pagina-generale; https://www.adrmediazionefacile.com/privacy; https://www.adrmediazionefacile.com/politica-sulla-privacy-adr-mf,
840,ADR MEDIAZIONE LOCRI,www.odceclocri.it,contatti_da_revisionare,8,segreteria@odceclocri.it; segreteria@pec.odceclocri.it,,https://www.odceclocri.it/; https://www.odceclocri.it/index.php?option=com_content&view=article&id=8&Itemid=90; https://www.odceclocri.it/index.php?option=com_content&view=article&id=17&Itemid=91; https://www.odceclocri.it/index.php?option=com_content&view=article&id=19&Itemid=92; https://www.odceclocri.it/index.php?view=article&catid=70%3Amodulistica&id=8%3Amodulistica-alboelenco&format=pdf&option=com_content&Itemid=90; https://www.odceclocri.it/index.php?view=article&catid=70%3Amodulistica&id=8%3Amodulistica-alboelenco&tmpl=component&print=1&layout=default&option=com_content&Itemid=90; https://www.odceclocri.it/index.php?view=article&catid=71%3Amodulistica-praticanti&id=17%3Amodulistica-praticanti&format=pdf&option=com_content&Itemid=91; https://www.odceclocri.it/index.php?view=article&catid=71%3Amodulistica-praticanti&id=17%3Amodulistica-praticanti&tmpl=component&print=1&layout=default&option=com_content&Itemid=91,
677,ADR MEDIAZIONE NETWORK S.R.L.,www.adrmedianet.it,fonte_non_raggiunta,0,,,,gaierror: [Errno 11001] getaddrinfo failed
693,ADR MEDITALIA SRL,adrmeditalia.it,fonte_non_raggiunta,0,,,,gaierror: [Errno 11001] getaddrinfo failed
117,ADR NUONA GIUSTIZIA E MEDIAZIONE in sigla ADR MEDIA,www.adrmedia.it,fonte_non_raggiunta,0,,,,ValueError: Risposta oltre i limiti del controllo pubblico.
9,ADR Notariato s.r.l.,www.adrnotariato.org,contatti_da_revisionare,8,cnn.adr@postacertificata.notariato.it; segreteria@adrnotariato.org,,https://www.adrnotariato.org/; https://www.adrnotariato.org/mediazione/la-mediazione-civile-e-commerciale; https://www.adrnotariato.org/servizi/servizio-per-la-mediazione-obbligatoria; https://www.adrnotariato.org/servizi/servizio-per-la-mediazione-volontaria; https://www.adrnotariato.org/avvia-mediazione; https://www.adrnotariato.org/chi-siamo/sedi-operative; https://www.adrnotariato.org/contatti; https://www.adrnotariato.org/index.php/contatti,
30,ADR PIEMONTE,www.adrpiemonte.it,da_ricercare,0,,,,
1140,ADR PROFESSIONAL SRL,www.adrprofessional.it,da_ricercare,0,,,,
628,ADR Palazzo delle Professioni Prato Srl,www.adrprato.it,da_ricercare,0,,,,
1149,ADR S-MART S.R.L.,www.adrsmart.it,da_ricercare,0,,,,
816,ADR SICILIA SRL A SOCIO UNICO,www.adrsicilia.com,da_ricercare,0,,,,
811,AEMME SERVIZI S.R.L.,http://www.aemmeservizi.it,da_ricercare,0,,,,
424,AEQUA ORGANISMO DI MEDIAZIONE CIVILE E COMMERCIALE S.R.L.,www.aequasrl.com,da_ricercare,0,,,,
1020,ALTA CONCILIA SRL,www.altaconciliasrl.it,da_ricercare,0,,,,
1112,ALTERNATIVE DISPUTE RISOLUTION MIR.,http://www.adrmirstudi.com,da_ricercare,0,,,,
1145,AMC Srl,www.avvocatiemediatori.it,da_ricercare,0,,,,
1138,ANTEMAR MEDIAZIONE,mediazioneproiustitia.it,da_ricercare,0,,,,
224,ANTEMAR PRO JUSTITIA,https://antemar.eu/,da_ricercare,0,,,,
188,APEC Associazione per la Promozione Extragiudiziale delle Controversie,www.mediazioniapec.it,da_ricercare,0,,,,
486,ARBITRATO E CONCILIAZIONI MARSALA SRL,www.acmmarsala.it,da_ricercare,0,,,,
1150,AREA CONCILIA,www.areaconcilia.it,da_ricercare,0,,,,
747,AREACONCILIA ADR,www.areaconcilia.it,da_ricercare,0,,,,
1101,ARTES SRL,www.formazioneartes.it,da_ricercare,0,,,,
7,ARTURO CARLO JEMOLO,www.jemolo.it,da_ricercare,0,,,,
823,ASS-FORMAT- MEDIATION,www.ass-format-mediation,da_ricercare,0,,,,
1108,ASSET BASILICATA az speciale della Camera di commercio della Basilicata,https://www.assetbasilicata.it,da_ricercare,0,,,,
1070,ASSOCIAZIONE ACCORDA E CONCILIA,www.accordaeconcilia.it,da_ricercare,0,,,,
467,ASSOCIAZIONE ADR MEDILAPET,www.medilapet.it,da_ricercare,0,,,,
971,ASSOCIAZIONE EQUILIBRIO & RISOLUZIONE CONFLITTI SRL,AEQUILIBRIOSRL@TIN.IT,da_ricercare,0,,,,
49,ASSOCIAZIONE IMMEDIATA-ADR,www.immediata-adr.it,da_ricercare,0,,,,
1099,ASSOCIAZIONE TRIBUNALE GIUDIZIARIO ARBITRALE NAZIONALE,www.mediatoristragiudiziali.it,da_ricercare,0,,,,
1058,AccademiADR Società Benefit srl,www.accademiadr.it,da_ricercare,0,,,,
979,Accademia Diritto Mediazione Arbitrato,www.admaonline.it,da_ricercare,0,,,,
215,Adierre Camera di mediazione e conciliazione Italia S.r.l.,www.adierrecameco.it,da_ricercare,0,,,,
680,Adr Futura,www.adrfutura.it,da_ricercare,0,,,,
243,Alam Conciliazione,www.alamconciliazione.it,da_ricercare,0,,,,
907,Alternative Dispute Resolution Centre SRL,www.disputeresolution.xyz,da_ricercare,0,,,,
1006,Ar-Tus S.r.l.,www.controversiecivili.it,da_ricercare,0,,,,
1100,Arbi-Media s.r.l.,www.arbi-media.it,da_ricercare,0,,,,
1152,Arca Mediazioni S.R.L. Unipersonale,www.arcamediazioni.com,da_ricercare,0,,,,
807,Archimedia Adr srl,www.archimedia-adr.it,da_ricercare,0,,,,
920,Area Mediazione,www.areamediazione.sitiwebs.com,da_ricercare,0,,,,
1105,Asconnet srls,www.asconnet.it,da_ricercare,0,,,,
401,Associazione Arbimedia adr,www.arbimedia.it,da_ricercare,0,,,,
448,Associazione CO.MED.A.,https://www.associazionecomeda.it/,da_ricercare,0,,,,
230,Associazione Centro Studi Giuridici Concilianet,www.concilianet.it,da_ricercare,0,,,,
193,Associazione Conciliatori del Veneto s.a.s,www.conciliatoriveneto.it,da_ricercare,0,,,,
24,Associazione Nazionale per l'Arbitrato & la Conciliazione in sigla A.N.P.A.R.,www.anpar.it,da_ricercare,0,,,,
788,Atena Alta Formazione,WWW.ATENALTAFORMAZIONE.IT,da_ricercare,0,,,,
716,Attività di mediazione ed arbitrato,www.direkta-adr.it,da_ricercare,0,,,,
848,AzzA Forense,www.azzaforense.com,da_ricercare,0,,,,
372,BSA SRL,www.bsaonline.it,da_ricercare,0,,,,
1072,BUSINESS ADVICE S.R.L.,www.business-advice.it,da_ricercare,0,,,,
1097,Beeorange srl,www.beeorange.it,da_ricercare,0,,,,
975,Borlaw,www.borlaw.it,da_ricercare,0,,,,
705,C.R.I.S.I. S.c.ar.l ONLUS,www.mediazionecrisi.it,da_ricercare,0,,,,
949,CAMERA ARBITRALE E DI MEDIAZIONE DELL'ORDINE DEGLI INGEGNERI DELLA PROVINCIA DI MILANO,www.camoim.it,da_ricercare,0,,,,
68,CAMERA DI COMMERCIO DELL'UMBRIA,https://www.umbria.camcom.it/,da_ricercare,0,,,,
404,CAMERA DI COMMERCIO INDUSTRIA ARTIGIANATO AGRICOLTURA DI CASERTA,www.ce.camcom.it,da_ricercare,0,,,,
1004,CAMERA DI COMMERCIO INDUSTRIA ARTIGIANATO E AGRICOLTURA DEL GRAN SASSO D'ITALIA,www.cameragransasso.camcom.it,da_ricercare,0,,,,
667,"CAMERA DI COMMERCIO, INDUSTRIA, ARTIGIANATO E AGRICOLTURA DI CREMONA",http://www.cciaa.cremona.it,da_ricercare,0,,,,
304,CAMERA DI CONCILIAZIONE DEL COLLEGIO PROVINCIALE PERITI AGRARI E PERITI AGRARI LAUREATI DI BOLOGNA,http://www.peritiagrari-bo.it/,da_ricercare,0,,,,
50,CAMERA DI CONCILIAZIONE DELL'ORDINE DEGLI AVVOCATI DI BRESCIA,www.ordineavvocatibrescia.it,da_ricercare,0,,,,
268,CAMERA DI CONCILIAZIONE DELLA CAMERA DI COMMERCIO DI PAVIA,www.pv.camcom.gov.it,da_ricercare,0,,,,
131,CAMERA DI CONCILIAZIONE DELLA CAMERA DI COMMERCIO RIVIERE DI LIGURIA - IMPERIA LA SPEZIA SAVONA,www.rivlig.camcom.gov.it,da_ricercare,0,,,,
324,CAMERA DI CONCILIAZIONE FORENSE - DIPARTIMENTO COA NUORO,,da_ricercare,0,,,,
1078,CAMERA DI CONCILIAZIONE FORENSE DELL’ORDINE DEGLI AVVOCATI DI LANCIANO,https://www.ordineavvocatilanciano.it/organismo-mediazione/,da_ricercare,0,,,,
1050,CAMERA DI CONCILIAZIONE M.A.P. SRL SOCIETA' UNIPERSONALE,www.ConciliaMap.com,da_ricercare,0,,,,
357,CAMERA DI CONCILIAZIONE PRESSO ORDINE AVVOCATI LAGONEGRO,https://odcforolagonegro.wordpress.com,da_ricercare,0,,,,
55,"CAMERA DI CONCILIAZIONE-MEDIAZIONE, ORGANISMO DI MEDIAZIONE DELLA CCIAA DI NAPOLI",www.na.camcom.it,da_ricercare,0,,,,
121,CAMERA DI CONCILIAZIONEFORENSE DELL'ORDINE DEGLI AVVOCATI DI PESCARA,www.ordineavvocatipescara.it,da_ricercare,0,,,,
1087,CAMERA DI MEDIA-CONCILIAZIONE FORENSE DELL'ORDINE DEGLI AVVOCATI DI ORISTANO,www.ordineavvocatioristano.it,da_ricercare,0,,,,
1104,CAMERA DI MEDIAZIONE & ARBITRATO MEDEA SRL,www.medea.legal,da_ricercare,0,,,,
14,CAMERA DI MEDIAZIONE DI PADOVA,www.pd.camcom.it,da_ricercare,0,,,,
341,CAMERA DI MEDIAZIONE NAZIONALE SRL,www.cameradimediazionenazionale.it,da_ricercare,0,,,,
413,CAMERA MANTOVANA DI MEDIAZIONE E CONCILIAZIONE SRL,www.cameramantovana.it,da_ricercare,0,,,,
349,CAMERA PER LA MEDIA CONCILIAZIONE DELL'ORDINE FORENSE DI VELLETRI,ORDINE AVVOCATI DI VELLETRI,da_ricercare,0,,,,
115,CCIAA Venezia Giulia,http://www.vg.camcom.gov.it/,da_ricercare,0,,,,
368,CELDAM S.R.L.,WWW.CELDAM.IT,da_ricercare,0,,,,
262,CENTRO DI MEDIAZIONE S.R.L.,WWW.CENTRODIMEDIAZIONE.COM,da_ricercare,0,,,,
886,CENTRO MEDIA CONCILIAZIONE,,da_ricercare,0,,,,
1025,CENTRO STUDI E SERVIZI azienda speciale della CCIAA della Maremma e del Tirreno,http://www.lg.camcom.it,da_ricercare,0,,,,
943,CNF MEDIAZIONE SRL,http://www.cfmediazione.it,da_ricercare,0,,,,
350,CNI - CONCILIAZIONI NAZIONALI ED INTERNAZIONALI SRL,www.cniconciliazioni.it,da_ricercare,0,,,,
1059,CNMA_ CAMERA NAZIONALE PER LA MEDIAZIONE E L'ARBITRATO,www.cnma.it,da_ricercare,0,,,,
531,COLLEGIO DEI GEOMETRI E DEI GEOMETRI LAUREATI DELLA PROVINCIA DI VITERBO,www.geometri.vt.it,da_ricercare,0,,,,
984,COMPERASS ADR,www.comperass.it,da_ricercare,0,,,,
1115,CON-VINCI Srl,www.con-vinci.it,da_ricercare,0,,,,
753,CONCILIA & RISOLVI SRL UNIPERSONALE,www.conciliaerisolvi.it,da_ricercare,0,,,,
1084,CONCILIA MED S.R.L.,www.conciliamed.it,da_ricercare,0,,,,
1129,CONCILIA QUI ASSOCIAZIONE,www.conciliaqui.com,da_ricercare,0,,,,
439,CONCILIA QUI SRL,www.conciliaqui.com,da_ricercare,0,,,,
764,CONCILIA S.P.A. - ORGANISMO DI CONCILIAZIONE,www.conciliaspa.it,da_ricercare,0,,,,
8,CONCILIA S.r.l. unip.,https://concilia.it,da_ricercare,0,,,,
800,CONCILIACONSUMATORI SRL,www.conciliaconsumatori.it,da_ricercare,0,,,,
887,CONCILIAMOCI,www.conciliamocisrl.com,da_ricercare,0,,,,
144,CONCILIAMOFACILE SRL,www.conciliamofacile.com,da_ricercare,0,,,,
1095,CONCILIAMUS,,da_ricercare,0,,,,
1041,CONCILIANDO MED DI LEGAL PROFESSIONAL NETWORK SRL,http://www.legalprofessionalnetwork.org/,da_ricercare,0,,,,
1068,CONCILIANT,www.conciliant.it,da_ricercare,0,,,,
1113,CONCILIARE CONVIENE,www.conciliareconviene.com,da_ricercare,0,,,,
1035,CONCILIAZIONE CILA,www.conciliazionecila.it,da_ricercare,0,,,,
74,CONCILIAZIONE.NET SRL,www.conciliazionenet.com,da_ricercare,0,,,,
759,CONCORDIAMANAGEMENT Srl,www.concordiamanagement.it,da_ricercare,0,,,,
1118,CONCORDIAMO,www.concordiamo.eu,da_ricercare,0,,,,
137,CONCORMEDIA SRL,www.concormedia.it,da_ricercare,0,,,,
1119,CONFCONCILIA,www.confconcilia.it,da_ricercare,0,,,,
1017,CONFORMED S.R.L.,www.adrconformed.com,da_ricercare,0,,,,
168,CONSIGLIO ORDINE AVVOCATI DI COSENZA,www.ordineavvocaticosenza.it,da_ricercare,0,,,,
419,CSDC Centro Servizi per i diritti del Cittadino - Onlus,www.mediazione-legale.org,da_ricercare,0,,,,
23,CURIA MERCATORUM,www.curiamercatorum.com,da_ricercare,0,,,,
48,Camera Arbitrale di Venezia,www.cameraarbitralevenezia.it,da_ricercare,0,,,,
566,Camera Arbitrale e della Mediazione della Camera di Commercio di Bari,www.ba.camcom.it,da_ricercare,0,,,,
6,Camera Arbitrale e di Conciliazione della Camera di Commercio I.A.A. Catania Ragusa Siracusa del Sud Est Sicilia,www.ctrgsr.camcom.gov.it,da_ricercare,0,,,,
273,Camera Conciliazione Forense dell'Ordine degli Avvocati di Sulmona,www.ordineavvocatisulmona.it,da_ricercare,0,,,,
386,"Camera Internazionale dell'Arbitrato, della Mediazione e della Conciliazione",,da_ricercare,0,,,,
752,Camera Risoluzione Controversie,www.crcmediazioni.it,da_ricercare,0,,,,
456,Camera di Arbitrato e Conciliazione - AR.CO- S.r.l.,www.arbitrieconciliatori.it,da_ricercare,0,,,,
830,Camera di Commercio I.A.A. di Nuoro,www.nu.camcom.it,da_ricercare,0,,,,
399,Camera di Commercio Industria Artigianato Agricoltura di Varese,www.va.camcom.it,da_ricercare,0,,,,
35,Camera di Commercio di Genova,www.ge.camcom.gov.it,da_ricercare,0,,,,
119,Camera di Conciliazione Forense di Ancona,conciliazioneforenseancona.com,da_ricercare,0,,,,
124,Camera di Conciliazione Italiana Srl,www.italianaconciliazione.it,da_ricercare,0,,,,
92,Camera di Conciliazione della CCIAA del Molise,www.molise.camcom.it,da_ricercare,0,,,,
62,Camera di Conciliazione della Romagna – Forlì-Cesena e Rimini,www.romagna.camcom.gov.it,da_ricercare,0,,,,
414,Camera di Conciliazione e Mediazione del Nordest,www.mediazionenordest.it,da_ricercare,0,,,,
745,Camera di Conciliazione presso Collegio Geometri e Geometri Laureati di Reggio Emilia,www.collegiogeometri.re.it,da_ricercare,0,,,,
265,Camera di Mediazione Patavina,www.cameradimediazionepatavina.it,da_ricercare,0,,,,
109,Camera di mediazione per la conciliazione (Camecon),www.camecon.it,da_ricercare,0,,,,
