codice,denominazione,area,parent_codice,coverage,needs_reviewer,file_fonte
010012,Procedimento di ingiunzione ante causam (rapporti con societa' finanziarie),Procedimenti speciali sommari,010,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
010013,Procedimento di ingiunzione ante causam (factoring),Procedimenti speciali sommari,010,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
010014,Procedimento di ingiunzione ante causam (leasing),Procedimenti speciali sommari,010,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
010015,Procedimento di ingiunzione ante causam (altri contratti tipici),Procedimenti speciali sommari,010,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
010016,Procedimento di ingiunzione ante causam (diritto societario non di competenza della Sez. Spec. Imprese),Procedimenti speciali sommari,010,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
010017,Procedimento di ingiunzione ante causam (diritto tributario e doganale),Procedimenti speciali sommari,010,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
010018,Procedimento di ingiunzione ante causam (diritto amministrativo),Procedimenti speciali sommari,010,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
010019,Procedimento di ingiunzione ante causam (in materia concorsuale),Procedimenti speciali sommari,010,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
010020,"Procedimento di ingiunzione ante causam (associazioni, comitati, consorzi e fondazioni)",Procedimenti speciali sommari,010,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
010021,Procedimento di ingiunzione ante causam (locazione di immobili),Procedimenti speciali sommari,010,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
010022,Procedimento di ingiunzione ante causam (affitto di azienda),Procedimenti speciali sommari,010,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
010023,Procedimento di ingiunzione ante causam (prestazione d'opera intellettuale),Procedimenti speciali sommari,010,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
010024,Procedimento di ingiunzione ante causam (altri contratti d'opera),Procedimenti speciali sommari,010,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
010025,Procedimento di ingiunzione ante causam (appalto),Procedimenti speciali sommari,010,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
010026,Procedimento di ingiunzione ante causam (appalto di opere pubbliche sottosoglia UE),Procedimenti speciali sommari,010,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
010027,Procedimento di ingiunzione ante causam (altri rapporti con la pubblica amministrazione),Procedimenti speciali sommari,010,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
010028,Procedimento di ingiunzione ante causam – Sez. Spec. Impresa,Procedimenti speciali sommari,010,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
010029,Procedimento di ingiunzione ante causam (rapporti familiari),Procedimenti speciali sommari,010,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
010999,Procedimento di ingiunzione ante causam (altre ipotesi),Procedimenti speciali sommari,010,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
011001,Sequestro conservativo ex art. 671 c.p.c.,Procedimenti speciali sommari,011,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
011002,Sequestro giudiziario ex art. 670 c.p.c.,Procedimenti speciali sommari,011,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
011003,Sequestro (liberatorio) ex art. 687 c.p.c.,Procedimenti speciali sommari,011,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
011011,Sequestro da norme speciali (Legge Autore: L. n. 633/1941 - Legge Invenzioni: R.D. n. 1127/1939 - Legge Marchi: R.D. n. 929/1942 - etc.),Procedimenti speciali sommari,011,curata,False,XSD_Cassazione_20260227/parte/base_v7/tipi-base.xsd
012001,Accertamento tecnico preventivo/Prova testimoniale,Procedimenti speciali sommari,012,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
012002,Consulenza tecnica preventiva (art. 696-bis cpc.) - responsabilita' sanitaria L. 24/2017,Procedimenti speciali sommari,012,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
012003,Consulenza tecnica preventiva (art. 696-bis cpc) - altre ipotesi,Procedimenti speciali sommari,012,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
012011,Ispezione preventiva,Procedimenti speciali sommari,012,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
012021,"Descrizione (Art. 161, L. n. 633/1941 - Artt. 81 e 82, R.D. n. 1127/1939 - artt. 61 e 62, R.D. n. 929/1942)",Procedimenti speciali sommari,012,curata,False,XSD_Cassazione_20260227/parte/base_v7/tipi-base.xsd
013001,"Inibitoria (art. 63 R.D. n. 929/1942 - art. 83 R.D. n. 1127/1939 - L n. 52/1996, etc.)",Catalogo PST ufficiale,013,curata,False,XSD_Cassazione_20260227/parte/base_v7/tipi-base.xsd
014001,Istanza sospensione dell'esecuzione ex art. 373 c.p.c.,Procedimenti speciali sommari,014,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
014002,Provvedimenti cautelari in materia di tutela della concorrenza e del mercato (art. 33 L. n. 287/90),Procedimenti speciali sommari,014,curata,False,XSD_Cassazione_20260227/parte/base_v7/tipi-base.xsd
014100,Reclamo alla Corte di Appello avverso Procedimenti Cautelari,Procedimenti speciali sommari,014,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
015001,Denuncia di nuova opera o di danno temuto (art. 688 c.p.c.),Procedimenti speciali sommari,015,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
015011,Provvedimenti d'urgenza ex art. 700 c.p.c,Procedimenti speciali sommari,015,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
016001,Mantenimento figli naturali o legittimi (istanza ex art. 148 c.c.),Procedimenti speciali sommari,016,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
016011,Assegno provvisorio per alimenti (art. 446 c.c.),Procedimenti speciali sommari,016,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
017001,Sequestro conservativo ex art. 671 c.p.c. - Sez. Spec. Impresa,Procedimenti speciali sommari,017,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
017002,Sequestro giudiziario ex art. 670 c.p.c. - Sez. Spec. Impresa,Procedimenti speciali sommari,017,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
017003,Sequestro (liberatorio) ex art. 687 c.p.c. - Sez. Spec. Impresa,Procedimenti speciali sommari,017,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
017004,Provvedimenti cautelari in materia di tutela della concorrenza e del mercato,Procedimenti speciali sommari,017,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
017005,Provvedimenti d'urgenza ex art. 700 c.p.c. - Sez. Spec. Impresa,Procedimenti speciali sommari,017,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
017006,Inibitoria (art. 131 c.p.i.),Procedimenti speciali sommari,017,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
017007,Sequestro (art. 129 c.p.i.),Procedimenti speciali sommari,017,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
017008,Descrizione (art. 129 c.p.i.),Procedimenti speciali sommari,017,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
017009,Inibitoria (art. 156 l. n. 663/1941 – Legge Autore),Procedimenti speciali sommari,017,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
017010,Sequestro (art. 161 l. n. 633/1941 – Legge Autore),Procedimenti speciali sommari,017,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
017011,Descrizione (art. 161 L.633/1941 – Legge Autore),Procedimenti speciali sommari,017,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
017012,Consulenza tecnica preventiva (art. 128 c.p.i.),Procedimenti speciali sommari,017,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
017013,Accertamento tecnico preventivo/prova testimoniale (art. 696 c.p.c.) - Sez. Spec. Imprese,Procedimenti speciali sommari,017,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
017014,Consulenza tecnica preventiva a fini conciliativi (art. 696-bis) - Sez. Spec. Impresa,Procedimenti speciali sommari,017,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
017999,Altri procedimenti cautelari - Sez. Spec. Impresa,Procedimenti speciali sommari,017,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
018001,Istanza sospensione dell'esecuzione ex art. 373 c.p.c.,Tribunale Superiore delle Acque Pubbliche,018,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
018002,Altri procedimenti cautelari,Tribunale Superiore delle Acque Pubbliche,018,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
019999,Altri procedimenti cautelari,Procedimenti speciali sommari,019,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
020001,"Azione di reintegrazione nel possesso (artt. 703 c.p.c., 1168 - 1169 c.c.)",Procedimenti speciali sommari,020,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
020011,Azione di manutenzione nel possesso (artt. 703 c.p.c. e 1170 c.c.),Procedimenti speciali sommari,020,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
030001,Intimazione di licenza o di sfratto per finita locazione (art. 657 c.p.c.) - uso abitativo,Procedimenti speciali sommari,030,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
030002,Intimazione di licenza o di sfratto per finita locazione (art. 657 c.p.c.) - uso diverso,Procedimenti speciali sommari,030,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
030011,Intimazione di sfratto per morosita' (art. 658 c.p.c.) - uso abitativo,Procedimenti speciali sommari,030,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
030012,Intimazione di licenza o di sfratto per morosita' (art. 658 c.p.c.) - uso diverso,Procedimenti speciali sommari,030,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
030021,Intimazione di licenza o di sfratto per cessazione del rapporto di locazione d'opera (art. 659 c.p.c.),Procedimenti speciali sommari,030,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
050001,Procedimento di Ingiunzione Ante Causam,Procedimenti speciali sommari,050,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
051001,Sequestro conservativo ex art. 671 c.p.c.,Procedimenti speciali sommari,051,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
051002,Sequestro giudiziario ex art. 670 c.p.c.,Procedimenti speciali sommari,051,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
051003,Sequestro (liberatorio) ex art. 687 c.p.c.,Procedimenti speciali sommari,051,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
052001,Prova testimoniale e/o Accertamento tecnico preventivo,Procedimenti speciali sommari,052,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
052011,Ispezione preventiva,Procedimenti speciali sommari,052,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
053001,"Inibitoria(art.63R.D.n.929/1942,art.83R.D.n.1127/1939,L n.52/1996,d.lgs.30/2005)",Procedimenti speciali sommari,053,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
055011,Provvedimenti d'urgenza ex art. 700 c.p.c,Procedimenti speciali sommari,055,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
059999,Altri procedimenti cautelari in materia di diritto societario ecc.,Procedimenti speciali sommari,059,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
100001,"Opposizione a precetto (art. 615, l' comma c.p.c.)",Contenzioso civile,100,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
100011,"Opposizione all'esecuzione (art. 615, 2' comma c.p.c.) mobiliare",Contenzioso civile,100,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
100012,"Opposizione all'esecuzione (art. 615, 2' comma c.p.c.) immobiliare",Contenzioso civile,100,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
100019,Opposizione all'esecuzione mobiliare e immobiliare riassunta davanti al Giudice di Pace,Contenzioso civile,100,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
100021,Opposizione agli atti esecutivi (art. 617 c.p.c.) mobiliare,Contenzioso civile,100,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
100022,Opposizione agli atti esecutivi (art. 617 c.p.c.) immobiliare,Contenzioso civile,100,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
100031,Opposizione del terzo (art. 619 c.p.c.) mobiliare,Contenzioso civile,100,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
100032,Opposizione del terzo (art. 619 c.p.c.) immobiliare,Contenzioso civile,100,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
100039,Opposizione del terzo all'esecuzione mobiliare e immobiliare riassunta davanti al Giudice di Pace,Contenzioso civile,100,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
100041,Accertamento dell'obbligo del terzo ex art. 548 c.p.c.,Contenzioso civile,100,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
100999,PROVA,Contenzioso civile,100,curata,False,XSD_UNEP_20241106/XSD PLO118 FASE2 per SW House/schema/tipi-base.xsd
101001,Querela di falso,Contenzioso civile,101,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
101002,Revocazione della sentenza ex artt. 395 e ss. c.p.c.,Contenzioso civile,101,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
101003,Opposizione di terzo ex artt. 404 e ss. c.p.c.,Contenzioso civile,101,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
101004,Revocazione per contrarietà alla Convenzione europea dei diritti dell'uomo ex art. 391-quater,Contenzioso civile,101,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
101005,"Ricorso al Presidente del Tribunale per ricusazione arbitro (art. 815, comma 3 cpc)",Contenzioso civile,101,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
101011,Rogatorie civili,Contenzioso civile,101,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
101012,Prova Delegata,Contenzioso civile,101,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
102001,Azione surrogatoria ex art. 2900 c.c.,Contenzioso civile,102,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
102002,Azione revocatoria ordinaria ex art. 2901 c.c.,Contenzioso civile,102,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
102011,Privilegio,Contenzioso civile,102,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
103001,Questioni di diritto della navigazione (esclusi i contratti di trasporto),Contenzioso civile,103,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
104001,Controversie di competenza del Tribunale Regionale delle Acque Pubbliche,Contenzioso civile,104,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
105001,Usi civici,Contenzioso civile,105,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
106001,Opposizione alla esecutorieta dei lodi arbitrali stranieri (art. 840 c.p.c.),Contenzioso civile,106,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
106002,Impugnazione di lodi nazionali (art. 828 c.p.c.),Contenzioso civile,106,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
106003,Espropriazione,Contenzioso civile,106,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
106004,Azione di nullita e risarcimento in materia di tutela della concorrenza e del mercato (art. 33 L. n. 287/90),Contenzioso civile,106,curata,False,XSD_Cassazione_20260227/parte/base_v7/tipi-base.xsd
106005,Opposizione avverso il decreto di esecutivita sentenze in materia civile e commerciale di cui alle convenzioni di Bruxelles e Lugano (L. 804/71),Contenzioso civile,106,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
106007,Reclamo ex art. 818-bis cpc,Contenzioso civile,106,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
106502,Accertamento requisiti sentenze straniere in materia diversa da quella matrimoniale (art. 67 L. n. 218/95),Contenzioso civile,106,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
108001,Istanza di conciliazione,Contenzioso civile,108,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
109999,Altri istituti e leggi speciali,Contenzioso civile,109,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
110000,Altre ipotesi di cui al comma 3 art. 3 L.46/2017,Contenzioso civile,110,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
110001,Interdizione (COLLEGIO),Contenzioso civile,110,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
110002,Inabilitazione (COLLEGIO),Contenzioso civile,110,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
110011,"Diritti della personalita (anche della persona giuridica) (es.: identita personale, nome, immagine, onore e reputazione, riservatezza)",Contenzioso civile,110,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
110021,Diritti di elettorato attivo e passivo,Contenzioso civile,110,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
110022,Diritti della cittadinanza,Contenzioso civile,110,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
110023,Riconoscimento dello stato di apolidia,Contenzioso civile,110,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
110031,Diritti relativi al trattamento dei dati personali (artt. 13 e 29 L. n. 675/1996),Contenzioso civile,110,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
110032,Impugnazione ex art. 35 D.Lvo 25/2008,Contenzioso civile,110,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
110033,Riconoscimento diritto di soggiorno cittadini UE (art. 8. Dlgs 30/2007),Contenzioso civile,110,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
110034,Impugnazione provvedimento di allontanamento ex art. 20 e 21 D.Lgs 30/2007,Contenzioso civile,110,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
110035,Impugnazioni Unita' Dublino UE 604/2013,Contenzioso civile,110,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
110036,Convalida del provvedimento di trattenimento o proroga del trattenimento,Contenzioso civile,110,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
110037,Ricongiungimento familiare (art.30),Contenzioso civile,110,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
110038,Impugnazione avverso diniego/revoca di rilascio/rinnovo permesso di soggiorno,Contenzioso civile,110,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
110039,Impugnazione avverso diniego di visto di ingresso per motivi di ricongiungimento familiare da parte dell’autorita' consolare,Contenzioso civile,110,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
110040,Impugnazione diniego protezione umanitaria da parte del Questore,Contenzioso civile,110,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
110041,Convalida del provvedimento del questore di accompagnamento immediato alla frontiera,Contenzioso civile,110,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
110044,Reclamo avverso diniego sospensione provvedimento,Contenzioso civile,110,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
110045,Convalida dei provvedimenti di trattenimento per i cittadini comunitari,Contenzioso civile,110,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
110999,Altri istituti relativi allo stato della persona ed ai diritti della personalita,Contenzioso civile,110,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
111001,Separazione consensuale,Contenzioso civile,111,curata,False,XSD_Cassazione_20260227/parte/base_v7/tipi-base.xsd
111002,Separazione giudiziale,Contenzioso civile,111,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
111003,Separazione consensuale e divorzio congiunto (Cessazione effetti civili),Contenzioso civile,111,curata,False,XSD_UNEP_20241106/XSD PLO118 FASE2 per SW House/schema/tipi-base.xsd
111004,Separazione consensuale e divorzio congiunto (Scioglimento matrimonio),Contenzioso civile,111,curata,False,XSD_UNEP_20241106/XSD PLO118 FASE2 per SW House/schema/tipi-base.xsd
111005,Modifica delle condizioni di separazione (contenzioso),Contenzioso civile,111,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
111010,Modifica delle condizioni di separazione (ricorso congiunto),Contenzioso civile,111,curata,False,XSD_UNEP_20241106/XSD PLO118 FASE2 per SW House/schema/tipi-base.xsd
111011,Divorzio congiunto,Contenzioso civile,111,curata,False,XSD_Cassazione_20260227/parte/base_v7/tipi-base.xsd
111012,Divorzio contenzioso,Contenzioso civile,111,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
111013,Modifica delle condizioni di divorzio (contenzioso),Contenzioso civile,111,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
111014,Modifica delle condizioni di divorzio (ricorso congiunto),Contenzioso civile,111,curata,False,XSD_UNEP_20241106/XSD PLO118 FASE2 per SW House/schema/tipi-base.xsd
111021,Divorzio congiunto - Scioglimento matrimonio,Contenzioso civile,111,curata,False,XSD_Cassazione_20260227/parte/base_v7/tipi-base.xsd
111022,Divorzio contenzioso - Scioglimento matrimonio,Contenzioso civile,111,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
111023,Separazione giudiziale e divorzio congiunto (Cessazione effetti civili),Contenzioso civile,111,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
111024,Separazione giudiziale e divorzio contenzioso (Cessazione effetti civili),Contenzioso civile,111,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
111101,Filiazione legittima,Contenzioso civile,111,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
111102,Filiazione naturale,Contenzioso civile,111,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
111103,Dich. Giudiziale di paternita/maternita naturale di persona maggiorenne - merito (art. 269 c.c.),Contenzioso civile,111,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
111104,Attuazione dei provvedimenti sull'affidamento,Contenzioso civile,111,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
111105,Dichiarazione giudiziale di paternita' e maternita' naturale - ammissibilita',Contenzioso civile,111,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
