source,codice,denominazione,categoria,sottocategoria,rito,fase_processuale,termine,giorni,mesi,anni,decorrenza,natura,norma,criticita,classificazione_import,calcolabile_automaticamente,direction,matter_type,term_rule_code,nota_import
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte1.json,413071,Apertura della tutela ordinaria (interdizione di maggiorenne),Volontaria giurisdizione - misure di protezione - tutele,Tutela per maggiorenne interdetto - nomina tutore,Procedimento per interdizione/inabilitazione ex artt. 712-720 c.p.c. (giudizio contenzioso con rito camerale per fase di apertura tutela),notifica,Costituzione interdicendo / curatore speciale,fissati dal giudice,,,,ordinatorio,,,informativo_non_calcolabile,False,forward,admin,GP_TERM_E43414A37CFC,Manca unita' numerica o decorrenza calcolabile.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte1.json,413071,Apertura della tutela ordinaria (interdizione di maggiorenne),Volontaria giurisdizione - misure di protezione - tutele,Tutela per maggiorenne interdetto - nomina tutore,Procedimento per interdizione/inabilitazione ex artt. 712-720 c.p.c. (giudizio contenzioso con rito camerale per fase di apertura tutela),generico_da_classificare,Esame personale interdicendo,fissato dal giudice,,,,obbligatorio,art. 419 c.c.,,informativo_non_calcolabile,False,forward,admin,GP_TERM_D7E624C29983,Manca unita' numerica o decorrenza calcolabile.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte1.json,413071,Apertura della tutela ordinaria (interdizione di maggiorenne),Volontaria giurisdizione - misure di protezione - tutele,Tutela per maggiorenne interdetto - nomina tutore,Procedimento per interdizione/inabilitazione ex artt. 712-720 c.p.c. (giudizio contenzioso con rito camerale per fase di apertura tutela),generico_da_classificare,Inventario beni tutelato (dopo apertura tutela),10,,,nomina tutore,ordinatorio,art. 362 c.c.,,calcolabile_giorni,True,forward,admin,GP_TERM_6EFC31B9A548,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte1.json,413071,Apertura della tutela ordinaria (interdizione di maggiorenne),Volontaria giurisdizione - misure di protezione - tutele,Tutela per maggiorenne interdetto - nomina tutore,Procedimento per interdizione/inabilitazione ex artt. 712-720 c.p.c. (giudizio contenzioso con rito camerale per fase di apertura tutela),generico_da_classificare,Rendiconto annuale tutore,365,,,data nomina e anni successivi,ordinatorio,art. 380 c.c.,,calcolabile_giorni,True,forward,admin,GP_TERM_417D139A6E6F,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte1.json,413071,Apertura della tutela ordinaria (interdizione di maggiorenne),Volontaria giurisdizione - misure di protezione - tutele,Tutela per maggiorenne interdetto - nomina tutore,Procedimento per interdizione/inabilitazione ex artt. 712-720 c.p.c. (giudizio contenzioso con rito camerale per fase di apertura tutela),impugnazione,Appello sentenza interdizione,30,,,notifica sentenza,perentorio,,,calcolabile_giorni,True,forward,admin,GP_TERM_89CFDF5A4599,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte1.json,620001,Esecuzione esattoriale immobiliare / Espropriazione immobiliare ordinaria,Esecuzione immobiliare,Pignoramento di beni immobili - procedura ordinaria (artt. 555-598 c.p.c.) o esattoriale (D.P.R. 602/1973),Espropriazione immobiliare ex artt. 555-598 c.p.c. (procedura ordinaria) - artt. 76-86 D.P.R. 602/1973 (esattoriale),generico_da_classificare,Trascrizione pignoramento,15,,,consegna ai destinatari,perentorio,art. 555 c. 3 c.p.c.,,calcolabile_giorni,True,forward,civil,GP_TERM_99A1F7B7B5A1,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte1.json,620001,Esecuzione esattoriale immobiliare / Espropriazione immobiliare ordinaria,Esecuzione immobiliare,Pignoramento di beni immobili - procedura ordinaria (artt. 555-598 c.p.c.) o esattoriale (D.P.R. 602/1973),Espropriazione immobiliare ex artt. 555-598 c.p.c. (procedura ordinaria) - artt. 76-86 D.P.R. 602/1973 (esattoriale),deposito,Iscrizione a ruolo,15,,,restituzione titolo trascritto al creditore,DECADENZIALE,art. 557 c.p.c.,MASSIMA,calcolabile_giorni,True,forward,civil,GP_TERM_8B880869BFEC,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte1.json,620001,Esecuzione esattoriale immobiliare / Espropriazione immobiliare ordinaria,Esecuzione immobiliare,Pignoramento di beni immobili - procedura ordinaria (artt. 555-598 c.p.c.) o esattoriale (D.P.R. 602/1973),Espropriazione immobiliare ex artt. 555-598 c.p.c. (procedura ordinaria) - artt. 76-86 D.P.R. 602/1973 (esattoriale),generico_da_classificare,Istanza di vendita,45,,,pignoramento,perentorio (con possibilità sospensione),art. 497 c.p.c.,,calcolabile_giorni,True,forward,civil,GP_TERM_E9C020598A1F,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte1.json,620001,Esecuzione esattoriale immobiliare / Espropriazione immobiliare ordinaria,Esecuzione immobiliare,Pignoramento di beni immobili - procedura ordinaria (artt. 555-598 c.p.c.) o esattoriale (D.P.R. 602/1973),Espropriazione immobiliare ex artt. 555-598 c.p.c. (procedura ordinaria) - artt. 76-86 D.P.R. 602/1973 (esattoriale),generico_da_classificare,Documentazione ipocatastale ex 567,60,,,istanza vendita,perentorio (prorogabile 120),art. 567 c. 2 c.p.c.,ALTA,calcolabile_giorni,True,forward,civil,GP_TERM_823328AF3F3C,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte1.json,620001,Esecuzione esattoriale immobiliare / Espropriazione immobiliare ordinaria,Esecuzione immobiliare,Pignoramento di beni immobili - procedura ordinaria (artt. 555-598 c.p.c.) o esattoriale (D.P.R. 602/1973),Espropriazione immobiliare ex artt. 555-598 c.p.c. (procedura ordinaria) - artt. 76-86 D.P.R. 602/1973 (esattoriale),notifica,Validità del precetto,90,,,notifica precetto,decadenziale,art. 481 c.p.c.,,calcolabile_giorni,True,forward,civil,GP_TERM_9D1B8027B8C9,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte1.json,143002,Responsabilità professionale del personale sanitario e della struttura sanitaria (Legge Gelli-Bianco),Responsabilità civile - responsabilità professionale sanitaria,"Risarcimento danni da malpractice medica - responsabilità della struttura sanitaria (contrattuale) e del sanitario (extracontrattuale, salvo contratto specifico)","Rito ordinario di cognizione, preceduto OBBLIGATORIAMENTE da ATP CONCILIATIVO ex art. 8 L. 24/2017 o, in alternativa, da mediazione obbligatoria ex art. 5 D.Lgs. 28/2010",prescrizione_decadenza,PRESCRIZIONE responsabilità contrattuale struttura,3650,,,scoperta del danno (oppure cessazione prestazione),prescrizione (interrompibile),art. 2946 c.c.,,calcolabile_giorni,True,forward,admin,GP_TERM_9938328B4C54,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte1.json,143002,Responsabilità professionale del personale sanitario e della struttura sanitaria (Legge Gelli-Bianco),Responsabilità civile - responsabilità professionale sanitaria,"Risarcimento danni da malpractice medica - responsabilità della struttura sanitaria (contrattuale) e del sanitario (extracontrattuale, salvo contratto specifico)","Rito ordinario di cognizione, preceduto OBBLIGATORIAMENTE da ATP CONCILIATIVO ex art. 8 L. 24/2017 o, in alternativa, da mediazione obbligatoria ex art. 5 D.Lgs. 28/2010",prescrizione_decadenza,PRESCRIZIONE responsabilità extracontrattuale sanitario dipendente,1825,,,fatto/scoperta,prescrizione (interrompibile),art. 2947 c.c.,,calcolabile_giorni,True,forward,admin,GP_TERM_20F9DE8778BA,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte1.json,143002,Responsabilità professionale del personale sanitario e della struttura sanitaria (Legge Gelli-Bianco),Responsabilità civile - responsabilità professionale sanitaria,"Risarcimento danni da malpractice medica - responsabilità della struttura sanitaria (contrattuale) e del sanitario (extracontrattuale, salvo contratto specifico)","Rito ordinario di cognizione, preceduto OBBLIGATORIAMENTE da ATP CONCILIATIVO ex art. 8 L. 24/2017 o, in alternativa, da mediazione obbligatoria ex art. 5 D.Lgs. 28/2010",deposito,ATP conciliativo - durata massima procedura,180,,,deposito ricorso ATP,max procedimentale,art. 8 c. 3 L. 24/2017,,calcolabile_giorni,True,forward,admin,GP_TERM_06AC7F0BD52B,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte1.json,143002,Responsabilità professionale del personale sanitario e della struttura sanitaria (Legge Gelli-Bianco),Responsabilità civile - responsabilità professionale sanitaria,"Risarcimento danni da malpractice medica - responsabilità della struttura sanitaria (contrattuale) e del sanitario (extracontrattuale, salvo contratto specifico)","Rito ordinario di cognizione, preceduto OBBLIGATORIAMENTE da ATP CONCILIATIVO ex art. 8 L. 24/2017 o, in alternativa, da mediazione obbligatoria ex art. 5 D.Lgs. 28/2010",deposito,Mediazione obbligatoria - durata,90,,,deposito istanza,max procedimentale,art. 6 D.Lgs. 28/2010,,calcolabile_giorni,True,forward,admin,GP_TERM_D0D477F17523,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte1.json,143002,Responsabilità professionale del personale sanitario e della struttura sanitaria (Legge Gelli-Bianco),Responsabilità civile - responsabilità professionale sanitaria,"Risarcimento danni da malpractice medica - responsabilità della struttura sanitaria (contrattuale) e del sanitario (extracontrattuale, salvo contratto specifico)","Rito ordinario di cognizione, preceduto OBBLIGATORIAMENTE da ATP CONCILIATIVO ex art. 8 L. 24/2017 o, in alternativa, da mediazione obbligatoria ex art. 5 D.Lgs. 28/2010",notifica,Termine a comparire,120,,,notifica citazione (post-Cartabia),minimo legale,,,calcolabile_giorni,True,forward,admin,GP_TERM_05873191675A,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte1.json,143002,Responsabilità professionale del personale sanitario e della struttura sanitaria (Legge Gelli-Bianco),Responsabilità civile - responsabilità professionale sanitaria,"Risarcimento danni da malpractice medica - responsabilità della struttura sanitaria (contrattuale) e del sanitario (extracontrattuale, salvo contratto specifico)","Rito ordinario di cognizione, preceduto OBBLIGATORIAMENTE da ATP CONCILIATIVO ex art. 8 L. 24/2017 o, in alternativa, da mediazione obbligatoria ex art. 5 D.Lgs. 28/2010",costituzione,Costituzione convenuto,70,,,prima udienza,perentorio,art. 166 c.p.c.,,calcolabile_giorni,True,backward,admin,GP_TERM_3DE9AA19A71A,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte1.json,143002,Responsabilità professionale del personale sanitario e della struttura sanitaria (Legge Gelli-Bianco),Responsabilità civile - responsabilità professionale sanitaria,"Risarcimento danni da malpractice medica - responsabilità della struttura sanitaria (contrattuale) e del sanitario (extracontrattuale, salvo contratto specifico)","Rito ordinario di cognizione, preceduto OBBLIGATORIAMENTE da ATP CONCILIATIVO ex art. 8 L. 24/2017 o, in alternativa, da mediazione obbligatoria ex art. 5 D.Lgs. 28/2010",prescrizione_decadenza,Azione di rivalsa struttura contro sanitario,365,,,pagamento del risarcimento,decadenziale,art. 9 c. 2 L. 24/2017,,calcolabile_giorni,True,forward,admin,GP_TERM_4CAED1BF3528,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte2.json,220101,Licenziamento individuale per giustificato motivo oggettivo (gmo),Lavoro - licenziamenti individuali,Impugnazione licenziamento per ragioni economiche/organizzative/produttive,Rito ordinario del lavoro ex artt. 409 e ss. c.p.c. (per assunti dal 7/3/2015) OR Rito Fornero ex L. 92/2012 c. 47-69 (per assunti ante 7/3/2015 con tutela ex art. 18 St.Lav.),impugnazione,IMPUGNAZIONE STRAGIUDIZIALE,60,,,ricezione licenziamento,DECADENZIALE,art. 6 L. 604/1966,MASSIMA,calcolabile_giorni,True,forward,labor,GP_TERM_AF66CEFEC81E,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte2.json,220101,Licenziamento individuale per giustificato motivo oggettivo (gmo),Lavoro - licenziamenti individuali,Impugnazione licenziamento per ragioni economiche/organizzative/produttive,Rito ordinario del lavoro ex artt. 409 e ss. c.p.c. (per assunti dal 7/3/2015) OR Rito Fornero ex L. 92/2012 c. 47-69 (per assunti ante 7/3/2015 con tutela ex art. 18 St.Lav.),impugnazione,DEPOSITO RICORSO,180,,,impugnazione stragiudiziale,DECADENZIALE,art. 6 c. 2 L. 604/1966,MASSIMA,calcolabile_giorni,True,forward,labor,GP_TERM_83C45F691C3F,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte2.json,220101,Licenziamento individuale per giustificato motivo oggettivo (gmo),Lavoro - licenziamenti individuali,Impugnazione licenziamento per ragioni economiche/organizzative/produttive,Rito ordinario del lavoro ex artt. 409 e ss. c.p.c. (per assunti dal 7/3/2015) OR Rito Fornero ex L. 92/2012 c. 47-69 (per assunti ante 7/3/2015 con tutela ex art. 18 St.Lav.),costituzione,Costituzione datore,10,,,prima udienza,perentorio,art. 416 c.p.c.,,calcolabile_giorni,True,backward,labor,GP_TERM_3091D5A3ED5C,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte2.json,220101,Licenziamento individuale per giustificato motivo oggettivo (gmo),Lavoro - licenziamenti individuali,Impugnazione licenziamento per ragioni economiche/organizzative/produttive,Rito ordinario del lavoro ex artt. 409 e ss. c.p.c. (per assunti dal 7/3/2015) OR Rito Fornero ex L. 92/2012 c. 47-69 (per assunti ante 7/3/2015 con tutela ex art. 18 St.Lav.),impugnazione,Appello,30,,,notifica sentenza,perentorio,,,calcolabile_giorni,True,forward,labor,GP_TERM_043B80683A2E,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte2.json,121003,Divisione di comunione ereditaria (divisione giudiziale),Successioni e diritti reali - divisione,Scioglimento della comunione ereditaria per via giudiziale,Rito ordinario di cognizione preceduto da MEDIAZIONE OBBLIGATORIA ex art. 5 c. 1-bis D.Lgs. 28/2010,prescrizione_decadenza,Diritto alla divisione,,,,,imprescrittibile,art. 713 c.c.,,informativo_non_calcolabile,False,forward,admin,GP_TERM_4D696B071E5A,Termine imprescrittibile o senza scadenza calcolabile.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte2.json,121003,Divisione di comunione ereditaria (divisione giudiziale),Successioni e diritti reali - divisione,Scioglimento della comunione ereditaria per via giudiziale,Rito ordinario di cognizione preceduto da MEDIAZIONE OBBLIGATORIA ex art. 5 c. 1-bis D.Lgs. 28/2010,generico_da_classificare,Patto di indivisione max,,,10,,,art. 1111 c.c.,,termine_lungo_o_prescrizione,False,forward,admin,GP_TERM_908F7C3DF5A9,"Da registrare come regola/profilo, non come calcolo processuale ordinario."
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte2.json,121003,Divisione di comunione ereditaria (divisione giudiziale),Successioni e diritti reali - divisione,Scioglimento della comunione ereditaria per via giudiziale,Rito ordinario di cognizione preceduto da MEDIAZIONE OBBLIGATORIA ex art. 5 c. 1-bis D.Lgs. 28/2010,generico_da_classificare,Sospensione divisione disposta dal giudice,,,5,,,art. 715 c.c.,,termine_lungo_o_prescrizione,False,forward,admin,GP_TERM_8BB7C684B65D,"Da registrare come regola/profilo, non come calcolo processuale ordinario."
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte2.json,121003,Divisione di comunione ereditaria (divisione giudiziale),Successioni e diritti reali - divisione,Scioglimento della comunione ereditaria per via giudiziale,Rito ordinario di cognizione preceduto da MEDIAZIONE OBBLIGATORIA ex art. 5 c. 1-bis D.Lgs. 28/2010,procedimentale,Mediazione obbligatoria - max procedimento,90,,,,,art. 6 D.Lgs. 28/2010,,calcolabile_giorni,True,forward,admin,GP_TERM_C93187F4CF7E,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte2.json,121003,Divisione di comunione ereditaria (divisione giudiziale),Successioni e diritti reali - divisione,Scioglimento della comunione ereditaria per via giudiziale,Rito ordinario di cognizione preceduto da MEDIAZIONE OBBLIGATORIA ex art. 5 c. 1-bis D.Lgs. 28/2010,notifica,Termine a comparire,120,,,notifica citazione,minimo legale,art. 163-bis c.p.c.,,calcolabile_giorni,True,forward,admin,GP_TERM_048C02A9E70D,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte2.json,121003,Divisione di comunione ereditaria (divisione giudiziale),Successioni e diritti reali - divisione,Scioglimento della comunione ereditaria per via giudiziale,Rito ordinario di cognizione preceduto da MEDIAZIONE OBBLIGATORIA ex art. 5 c. 1-bis D.Lgs. 28/2010,costituzione,Costituzione convenuto,70,,,prima udienza,perentorio,,,calcolabile_giorni,True,backward,admin,GP_TERM_0F2C8461A277,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte2.json,121003,Divisione di comunione ereditaria (divisione giudiziale),Successioni e diritti reali - divisione,Scioglimento della comunione ereditaria per via giudiziale,Rito ordinario di cognizione preceduto da MEDIAZIONE OBBLIGATORIA ex art. 5 c. 1-bis D.Lgs. 28/2010,prescrizione_decadenza,Azione di riduzione legittima,,,10,apertura successione,prescrizione,,,termine_lungo_o_prescrizione,False,forward,admin,GP_TERM_EBB25E5EF049,"Da registrare come regola/profilo, non come calcolo processuale ordinario."
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte2.json,121003,Divisione di comunione ereditaria (divisione giudiziale),Successioni e diritti reali - divisione,Scioglimento della comunione ereditaria per via giudiziale,Rito ordinario di cognizione preceduto da MEDIAZIONE OBBLIGATORIA ex art. 5 c. 1-bis D.Lgs. 28/2010,prescrizione_decadenza,Rescissione per lesione divisione,,,2,divisione stessa,decadenziale,art. 763 c.c.,,calcolabile_anni_da_verificare,False,forward,admin,GP_TERM_9A0AE6C4D8EA,Anni da convertire in mesi solo dopo verifica professionale.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte2.json,GUIDA_TUTELA_MINORI_ORDINARIA,"Apertura della tutela ordinaria - minori (per genitori deceduti, decaduti o impossibilitati)",Volontaria giurisdizione - protezione dei minori,Tutela del minore - nomina del tutore (artt. 343-389 c.c.),Procedimento camerale - GIUDICE TUTELARE,deposito,Decisione del GT,60,,,deposito ricorso,ordinatorio,,,calcolabile_giorni,True,forward,admin,GP_TERM_D2B556281F9F,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte2.json,GUIDA_TUTELA_MINORI_ORDINARIA,"Apertura della tutela ordinaria - minori (per genitori deceduti, decaduti o impossibilitati)",Volontaria giurisdizione - protezione dei minori,Tutela del minore - nomina del tutore (artt. 343-389 c.c.),Procedimento camerale - GIUDICE TUTELARE,impugnazione,Reclamo in Corte d'Appello,10,,,comunicazione decreto,perentorio,,,calcolabile_giorni,True,forward,admin,GP_TERM_C64503066F51,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte2.json,GUIDA_TUTELA_MINORI_ORDINARIA,"Apertura della tutela ordinaria - minori (per genitori deceduti, decaduti o impossibilitati)",Volontaria giurisdizione - protezione dei minori,Tutela del minore - nomina del tutore (artt. 343-389 c.c.),Procedimento camerale - GIUDICE TUTELARE,generico_da_classificare,Inventario beni minore,10,,,nomina tutore,ordinatorio,art. 362 c.c.,,calcolabile_giorni,True,forward,admin,GP_TERM_F8F06B40D29E,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte2.json,GUIDA_TUTELA_MINORI_ORDINARIA,"Apertura della tutela ordinaria - minori (per genitori deceduti, decaduti o impossibilitati)",Volontaria giurisdizione - protezione dei minori,Tutela del minore - nomina del tutore (artt. 343-389 c.c.),Procedimento camerale - GIUDICE TUTELARE,generico_da_classificare,Rendiconto annuale tutore,365,,,data nomina e anni successivi,ordinatorio,art. 380 c.c.,,calcolabile_giorni,True,forward,admin,GP_TERM_335A2FA6F263,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte2.json,GUIDA_TUTELA_MINORI_ORDINARIA,"Apertura della tutela ordinaria - minori (per genitori deceduti, decaduti o impossibilitati)",Volontaria giurisdizione - protezione dei minori,Tutela del minore - nomina del tutore (artt. 343-389 c.c.),Procedimento camerale - GIUDICE TUTELARE,generico_da_classificare,Fine tutela,,,,,,,,informativo_non_calcolabile,False,forward,admin,GP_TERM_F9B4D3A93634,Manca unita' numerica o decorrenza calcolabile.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte2.json,GUIDA_COMPRAVENDITA_IMMOBILIARE_RISOLUZIONE,Risoluzione del contratto di compravendita immobiliare per inadempimento,Contratti - risoluzione per inadempimento,Risoluzione contratto compravendita immobile - artt. 1453 e ss. c.c.,Rito ordinario di cognizione,prescrizione_decadenza,Prescrizione azione risoluzione,,,10,inadempimento,prescrizione,art. 2946 c.c.,,termine_lungo_o_prescrizione,False,forward,civil,GP_TERM_8BECFA40EB2E,"Da registrare come regola/profilo, non come calcolo processuale ordinario."
