source,codice,denominazione,categoria,sottocategoria,rito,fase_processuale,termine,giorni,mesi,anni,decorrenza,natura,norma,criticita,classificazione_import,calcolabile_automaticamente,direction,matter_type,term_rule_code,nota_import
pct\data\legal_knowledge_base_modules\kb_98_set25_p2.json,GUIDA_COMPRAVENDITA_IMMOBILIARE_INADEMPIMENTO_DEL_PROMISSARIO_ACQUIRENTE_E_CAP_142010,Compravendita immobiliare: inadempimento del promissario acquirente e caparra confirmatoria (art. 1385 c.c.),Contratti – compravendita immobiliare – inadempimento,,Rito ordinario preceduto da MEDIAZIONE OBBLIGATORIA (diritti reali),prescrizione_decadenza,Prescrizione ordinaria,,,10,,,,,termine_lungo_o_prescrizione,False,forward,civil,GP_TERM_B64385E5972B,"Da registrare come regola/profilo, non come calcolo processuale ordinario."
pct\data\legal_knowledge_base_modules\kb_98_set25_p2.json,GUIDA_CONTRATTO_DI_NOLEGGIO_RESPONSABILIT_PER_DANNI_AL_VEICOLO_NOLEGGIATO_E_CO_143050,Contratto di noleggio: responsabilità per danni al veicolo noleggiato e controversie (artt. 1571 e ss. c.c.),Contratti – locazione mobiliare – noleggio,,Rito ordinario di cognizione; GdP per valori bassi,prescrizione_decadenza,Prescrizione ordinaria,,,10,,,,,termine_lungo_o_prescrizione,False,forward,civil,GP_TERM_596F03682AD7,"Da registrare come regola/profilo, non come calcolo processuale ordinario."
pct\data\legal_knowledge_base_modules\kb_98_set25_p3.json,GUIDA_INVENZIONI_DEL_DIPENDENTE_E_DIRITTO_AL_BREVETTO_ARTT_64_65_D_LGS_30_2005_220155,Invenzioni del dipendente e diritto al brevetto (artt. 64-65 D.Lgs. 30/2005 Cod. PI),Lavoro – proprietà intellettuale – invenzioni,,Rito del lavoro ex artt. 409 e ss. c.p.c. (controversia sorta dal rapporto di lavoro),prescrizione_decadenza,Prescrizione ordinaria,,,10,,,,,termine_lungo_o_prescrizione,False,forward,labor,GP_TERM_63B64DA56AAA,"Da registrare come regola/profilo, non come calcolo processuale ordinario."
pct\data\legal_knowledge_base_modules\kb_98_set25_p3.json,GUIDA_TFR_CALCOLO_CONTESTATO_LIQUIDAZIONE_E_RICHIESTA_DI_PAGAMENTO_ART_2120_C__220160,"TFR: calcolo contestato, liquidazione e richiesta di pagamento (art. 2120 c.c.)",Lavoro – crediti da cessazione del rapporto – TFR,,Rito del lavoro ex artt. 409 e ss. c.p.c.,prescrizione_decadenza,Prescrizione in costanza rapporto,,,5,,,,,termine_lungo_o_prescrizione,False,forward,labor,GP_TERM_5F459D5872EE,"Da registrare come regola/profilo, non come calcolo processuale ordinario."
pct\data\legal_knowledge_base_modules\kb_98_set25_p3.json,GUIDA_ACCERTAMENTO_GIUDIZIALE_DELLA_SUBORDINAZIONE_FINTO_LAVORO_AUTONOMO_ARTT__220165,Accertamento giudiziale della subordinazione – finto lavoro autonomo (artt. 2094-2096 c.c.),Lavoro – accertamento della natura del rapporto,,Rito del lavoro ex artt. 409 e ss. c.p.c.,prescrizione_decadenza,Prescrizione in costanza rapporto,,,5,,,,,termine_lungo_o_prescrizione,False,forward,labor,GP_TERM_5FA950202C57,"Da registrare come regola/profilo, non come calcolo processuale ordinario."
pct\data\legal_knowledge_base_modules\kb_98_set25_p3.json,GUIDA_TIROCINIO_E_STAGE_IRREGOLARIT_TRASFORMAZIONE_IN_RAPPORTO_DI_LAVORO_E_CON_220170,"Tirocinio e stage: irregolarità, trasformazione in rapporto di lavoro e controversie (D.M. 142/1998 + L. 92/2012)",Lavoro – tirocinio formativo,,Rito del lavoro ex artt. 409 e ss. c.p.c.,prescrizione_decadenza,Prescrizione in costanza rapporto,,,5,,,,,termine_lungo_o_prescrizione,False,forward,labor,GP_TERM_DBA0B4D4606F,"Da registrare come regola/profilo, non come calcolo processuale ordinario."
pct\data\legal_knowledge_base_modules\kb_98_set25_p3.json,GUIDA_SOMMINISTRAZIONE_DI_LAVORO_ILLECITA_E_CONSEGUENZE_PER_IL_LAVORATORE_ARTT_220175,Somministrazione di lavoro illecita e conseguenze per il lavoratore (artt. 30-40 D.Lgs. 276/2003),Lavoro – somministrazione – irregolarità,,Rito del lavoro ex artt. 409 e ss. c.p.c.,prescrizione_decadenza,Prescrizione in costanza rapporto,,,5,,,,,termine_lungo_o_prescrizione,False,forward,labor,GP_TERM_1691721F682C,"Da registrare come regola/profilo, non come calcolo processuale ordinario."
pct\data\legal_knowledge_base_modules\kb_98_set25_p4.json,GUIDA_S_P_A_DIRITTI_DEGLI_AZIONISTI_DI_MINORANZA_ISPEZIONE_DENUNCIA_AL_TRIBUNA_150075,"S.p.A.: diritti degli azionisti di minoranza – ispezione, denuncia al tribunale e recesso (artt. 2408-2409 c.c.)",Diritto societario – S.p.A. – tutela minoranze,,Rito ordinario – Tribunale delle Imprese,generico_da_classificare,Nessun termine fisso – proponibile al ricorrere dei presupposti,,,,,,,,informativo_non_calcolabile,False,forward,admin,GP_TERM_E33F156B9F02,Manca unita' numerica o decorrenza calcolabile.
pct\data\legal_knowledge_base_modules\kb_98_set25_p4.json,GUIDA_LIQUIDAZIONE_DELLA_S_R_L_OBBLIGHI_DEI_LIQUIDATORI_RESPONSABILIT_E_CONTRO_155020,"Liquidazione della S.r.l.: obblighi dei liquidatori, responsabilità e controversie (artt. 2484-2496 c.c.)",Diritto societario – S.r.l. – liquidazione,,Rito ordinario – Tribunale delle Imprese,prescrizione_decadenza,Azione ex 2495 post-cancellazione,,,1,,DECADENZIALE,,,calcolabile_anni_da_verificare,False,forward,admin,GP_TERM_CF42EA49DEB6,Anni da convertire in mesi solo dopo verifica professionale.
pct\data\legal_knowledge_base_modules\kb_98_set25_p4.json,GUIDA_TUTELA_DELLA_DITTA_DEL_NOME_COMMERCIALE_E_DELL_INSEGNA_ARTT_2563_2567_C__170040,"Tutela della ditta, del nome commerciale e dell'insegna (artt. 2563-2567 c.c. + artt. 22-24 Cod. PI)",Proprietà industriale – segni distintivi – ditta,,Rito ordinario – Tribunale delle Imprese,prescrizione_decadenza,Prescrizione,,,5,,,,,termine_lungo_o_prescrizione,False,forward,civil,GP_TERM_031225478235,"Da registrare come regola/profilo, non come calcolo processuale ordinario."
pct\data\legal_knowledge_base_modules\kb_98_set25_p4.json,GUIDA_CONTRATTO_DI_CONTO_CORRENTE_BANCARIO_CONTESTAZIONE_DEL_SALDO_ANATOCISMO__143055,"Contratto di conto corrente bancario: contestazione del saldo, anatocismo e commissioni (artt. 1823-1833 c.c.)",Contratti – bancari – conto corrente,,Rito ordinario preceduto da MEDIAZIONE OBBLIGATORIA (contratti bancari),prescrizione_decadenza,Prescrizione ripetizione indebito,,,10,chiusura del conto o pagamento non dovuto,,,,termine_lungo_o_prescrizione,False,forward,civil,GP_TERM_35CD6A24B6A4,"Da registrare come regola/profilo, non come calcolo processuale ordinario."
pct\data\legal_knowledge_base_modules\kb_98_set25_p4.json,GUIDA_MUTUO_FONDIARIO_E_IPOTECARIO_CONTROVERSIE_USURA_E_RISOLUZIONE_ARTT_1813__143060,"Mutuo fondiario e ipotecario: controversie, usura e risoluzione (artt. 1813-1822 c.c. + TUB artt. 38-42)",Contratti – bancari – mutuo,,Rito ordinario preceduto da MEDIAZIONE OBBLIGATORIA (contratti bancari),prescrizione_decadenza,Nullità clausola: IMPRESCRITTIBILE,,,,,,,,informativo_non_calcolabile,False,forward,civil,GP_TERM_13B96EECC1FA,Termine imprescrittibile o senza scadenza calcolabile.
pct\data\legal_knowledge_base_modules\kb_98_set25_p4.json,GUIDA_MUTUO_FONDIARIO_E_IPOTECARIO_CONTROVERSIE_USURA_E_RISOLUZIONE_ARTT_1813__143060,"Mutuo fondiario e ipotecario: controversie, usura e risoluzione (artt. 1813-1822 c.c. + TUB artt. 38-42)",Contratti – bancari – mutuo,,Rito ordinario preceduto da MEDIAZIONE OBBLIGATORIA (contratti bancari),prescrizione_decadenza,Rimborso interessi indebitamente pagati: prescrizione 10 anni,,,,,,,,informativo_non_calcolabile,False,forward,civil,GP_TERM_01EE9416EA9E,Manca unita' numerica o decorrenza calcolabile.
pct\data\legal_knowledge_base_modules\kb_98_set25_p5.json,GUIDA_REVOCA_DELLA_SEPARAZIONE_PERSONALE_E_RICONCILIAZIONE_CONIUGALE_ART_157_C_113010,Revoca della separazione personale e riconciliazione coniugale (art. 157 c.c.),Persone e famiglia – separazione – riconciliazione,,Procedimento volontario ante Tribunale sezione famiglia,generico_da_classificare,Nessun termine – proponibile in qualunque momento,,,,,,,,informativo_non_calcolabile,False,forward,admin,GP_TERM_8909E2D5D8C9,Manca unita' numerica o decorrenza calcolabile.
pct\data\legal_knowledge_base_modules\kb_98_set25_p5.json,GUIDA_RESPONSABILIT_DELLA_BANCA_PER_OPERAZIONI_NON_AUTORIZZATE_FRODI_INFORMATI_160175,"Responsabilità della banca per operazioni non autorizzate, frodi informatiche e phishing (D.Lgs. 11/2010)",Responsabilità civile – servizi di pagamento – frodi bancarie,,Rito ordinario preceduto da MEDIAZIONE OBBLIGATORIA (contratti bancari),prescrizione_decadenza,Prescrizione,,,2,operazione fraudolenta,,,,termine_lungo_o_prescrizione,False,forward,civil,GP_TERM_C01A7CE7071B,"Da registrare come regola/profilo, non come calcolo processuale ordinario."
pct\data\legal_knowledge_base_modules\kb_98_set25_p5.json,GUIDA_ACCERTAMENTO_TECNICO_PREVENTIVO_ART_696_C_P_C_E_CONSULENZA_TECNICA_PREVE_190025,Accertamento tecnico preventivo (art. 696 c.p.c.) e consulenza tecnica preventiva ai fini della conciliazione (art. 696-bis c.p.c.),Misure cautelari – accertamento tecnico – consulenza preventiva,,Procedimento cautelare ante causam o in corso di causa ex artt. 696 e 696-bis c.p.c.,generico_da_classificare,Nessun termine fisso – ante causam o in corso di causa,,,,,,,,informativo_non_calcolabile,False,forward,civil,GP_TERM_38D054E36B69,Manca unita' numerica o decorrenza calcolabile.
pct\data\legal_knowledge_base_modules\kb_98_set25_p5.json,GUIDA_ESPROPRIAZIONE_PRESSO_TERZI_DICHIARAZIONE_DEL_TERZO_E_CONTESTAZIONI_ARTT_510010,Espropriazione presso terzi: dichiarazione del terzo e contestazioni (artt. 547-549 c.p.c.),Esecuzioni forzate – espropriazione presso terzi,,Procedimento esecutivo davanti al GE + eventuale giudizio di accertamento ex art. 548-549 c.p.c.,udienza,Contestazione: udienza fissata dal GE,,,,,,,,informativo_non_calcolabile,False,forward,civil,GP_TERM_AC39A3383A8B,Manca unita' numerica o decorrenza calcolabile.
pct\data\legal_knowledge_base_modules\kb_98_set25_p5.json,GUIDA_PIGNORAMENTO_DI_QUOTA_DI_S_R_L_E_VENDITA_FORZATA_ART_2471_C_C_511030,Pignoramento di quota di S.r.l. e vendita forzata (art. 2471 c.c.),Esecuzioni forzate – pignoramento quota societaria,,Procedimento esecutivo davanti al GE,notifica,Nessun termine specifico per il creditore,,,,,,,,informativo_non_calcolabile,False,forward,admin,GP_TERM_31A8E666F9CF,Manca unita' numerica o decorrenza calcolabile.
pct\data\legal_knowledge_base_modules\kb_98_set25_p6.json,GUIDA_AZIONE_REVOCATORIA_NEL_CONTESTO_DELLA_LIQUIDAZIONE_GIUDIZIALE_ARTT_163_1_512065,Azione revocatoria nel contesto della liquidazione giudiziale (artt. 163-176 D.Lgs. 14/2019 CCII),Procedure concorsuali – revocatoria concorsuale,,Procedimento davanti al Tribunale fallimentare – giudice delegato e sezione specializzata,prescrizione_decadenza,Prescrizione azione revocatoria concorsuale,,,3,apertura LG,,,,termine_lungo_o_prescrizione,False,forward,admin,GP_TERM_44EF9BEC29DA,"Da registrare come regola/profilo, non come calcolo processuale ordinario."
pct\data\legal_knowledge_base_modules\kb_98_set25_p6.json,GUIDA_DICHIARAZIONE_DI_ESECUTIVIT_DEL_LODO_ARBITRALE_ART_825_C_P_C_E_IMPUGNAZI_191025,Dichiarazione di esecutività del lodo arbitrale (art. 825 c.p.c.) e impugnazione del lodo,Arbitrato – exequatur del lodo,,Procedimento camerale ex art. 825 c.p.c. davanti alla Corte d'Appello,impugnazione,Impugnazione per nullità,90,,,notificazione del lodo,DECADENZIALE,,,calcolabile_giorni,True,forward,civil,GP_TERM_8314CEE0DAC1,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_set25_p6.json,GUIDA_ISTANZA_URGENTE_DI_PROTEZIONE_PROVVISORIA_NEL_PROCEDIMENTO_DI_AMMINISTRA_413115,Istanza urgente di protezione provvisoria nel procedimento di Amministrazione di Sostegno (art. 405 c.c.),Persone e famiglia – AdS – misure urgenti,,Procedimento camerale urgente davanti al GIUDICE TUTELARE,udienza,Urgente – richiedere udienza nell'immediato,,,,,,,,informativo_non_calcolabile,False,forward,civil,GP_TERM_69D40519A46E,Manca unita' numerica o decorrenza calcolabile.
pct\data\legal_knowledge_base_modules\kb_98_set25_p6.json,GUIDA_IMPUGNAZIONE_DELLA_SANZIONE_ACCESSORIA_SOSPENSIONE_PATENTE_CONFISCA_ECC__240020,"Impugnazione della sanzione accessoria (sospensione patente, confisca, ecc.) – art. 204-bis C.d.S.",Diritto amministrativo – sanzioni accessorie – C.d.S.,,Rito sommario ex art. 7 D.Lgs. 150/2011 davanti al GdP o al Tribunale,impugnazione,OPPOSIZIONE,30,,,notifica verbale,DECADENZIALE,,MASSIMA,calcolabile_giorni,True,forward,tax,GP_TERM_7FC5FCC1B70F,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_set25_p6.json,GUIDA_AZIONE_INIBITORIA_COLLETTIVA_CONTRO_CLAUSOLE_ABUSIVE_NEI_CONTRATTI_DEI_C_180035,Azione inibitoria collettiva contro clausole abusive nei contratti dei consumatori (art. 37 Cod. Consumo + D.Lgs. 206/2005),Tutela collettiva dei consumatori – inibitoria,,Rito ordinario – Tribunale delle Imprese (o azione inibitoria ex art. 37 Cod. Consumo),notifica,Nessun termine specifico – proponibile al ricorrere dei presupposti,,,,,,,,informativo_non_calcolabile,False,forward,civil,GP_TERM_A49F600C7851,Manca unita' numerica o decorrenza calcolabile.
pct\data\legal_knowledge_base_modules\kb_98_set26_p1.json,GUIDA_ENFITEUSI_AFFRANCAZIONE_CONVERSIONE_E_CONTROVERSIE_ARTT_959_972_C_C_130130,"Enfiteusi: affrancazione, conversione e controversie (artt. 959-972 c.c.)",Diritti reali su cosa altrui – enfiteusi,,Rito ordinario preceduto da MEDIAZIONE OBBLIGATORIA (diritti reali),presupposto_temporale,Devoluzione per mancato pagamento: 2 anni di arretrati (presupposto),,,,,,,,informativo_non_calcolabile,False,forward,civil,GP_TERM_2F8F75A12402,Manca unita' numerica o decorrenza calcolabile.
pct\data\legal_knowledge_base_modules\kb_98_set26_p1.json,GUIDA_ENFITEUSI_AFFRANCAZIONE_CONVERSIONE_E_CONTROVERSIE_ARTT_959_972_C_C_130130,"Enfiteusi: affrancazione, conversione e controversie (artt. 959-972 c.c.)",Diritti reali su cosa altrui – enfiteusi,,Rito ordinario preceduto da MEDIAZIONE OBBLIGATORIA (diritti reali),prescrizione_decadenza,Prescrizione canoni,,,5,,,art. 2948 c.c.,,termine_lungo_o_prescrizione,False,forward,civil,GP_TERM_7551FBB4340B,"Da registrare come regola/profilo, non come calcolo processuale ordinario."
pct\data\legal_knowledge_base_modules\kb_98_set26_p1.json,GUIDA_RESPONSABILIT_AMBIENTALE_E_DANNO_ALL_AMBIENTE_D_LGS_152_2006_TUA_L_349_1_160180,Responsabilità ambientale e danno all'ambiente (D.Lgs. 152/2006 TUA + L. 349/1986),Responsabilità civile – danno ambientale,,Rito ordinario; per il danno pubblico all'ambiente: azione dello Stato ex D.Lgs. 152/2006,prescrizione_decadenza,Prescrizione,,,5,,,art. 2947 c.c.,,termine_lungo_o_prescrizione,False,forward,civil,GP_TERM_D317AC632AB9,"Da registrare come regola/profilo, non come calcolo processuale ordinario."
pct\data\legal_knowledge_base_modules\kb_98_set26_p1.json,GUIDA_CONTRATTO_DI_AGENZIA_RECESSO_INDENNIT_DI_FINE_RAPPORTO_E_PATTO_DI_NON_CO_141045,"Contratto di agenzia: recesso, indennità di fine rapporto e patto di non concorrenza (artt. 1742-1753 c.c.)",Contratti – agenzia commerciale,,Rito del lavoro ex art. 409 n. 3 c.p.c. (rapporto parasubordinato) o rito ordinario,prescrizione_decadenza,Prescrizione provvigioni,,,5,,,art. 2948 n. 4 c.c.,,termine_lungo_o_prescrizione,False,forward,labor,GP_TERM_D56D57FE3B19,"Da registrare come regola/profilo, non come calcolo processuale ordinario."
pct\data\legal_knowledge_base_modules\kb_98_set26_p1.json,GUIDA_CONTRATTO_DI_AGENZIA_RECESSO_INDENNIT_DI_FINE_RAPPORTO_E_PATTO_DI_NON_CO_141045,"Contratto di agenzia: recesso, indennità di fine rapporto e patto di non concorrenza (artt. 1742-1753 c.c.)",Contratti – agenzia commerciale,,Rito del lavoro ex art. 409 n. 3 c.p.c. (rapporto parasubordinato) o rito ordinario,prescrizione_decadenza,Prescrizione indennità fine rapporto,,,5,,,,,termine_lungo_o_prescrizione,False,forward,labor,GP_TERM_38B7A6CFA05C,"Da registrare come regola/profilo, non come calcolo processuale ordinario."
pct\data\legal_knowledge_base_modules\kb_98_set26_p1.json,GUIDA_RECESSO_DEL_SOCIO_DALLA_S_P_A_E_LIQUIDAZIONE_DELL_AZIONE_ARTT_2437_2437__150080,Recesso del socio dalla S.p.A. e liquidazione dell'azione (artt. 2437-2437-sexies c.c.),Diritto societario – S.p.A. – recesso del socio,,Rito ordinario – Tribunale delle Imprese,notifica,Comunicazione recesso,15,,,delibera,DECADENZIALE,,,calcolabile_giorni,True,forward,admin,GP_TERM_DF6F5C61B2FF,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_set26_p1.json,GUIDA_RECESSO_DEL_SOCIO_DALLA_S_P_A_E_LIQUIDAZIONE_DELL_AZIONE_ARTT_2437_2437__150080,Recesso del socio dalla S.p.A. e liquidazione dell'azione (artt. 2437-2437-sexies c.c.),Diritto societario – S.p.A. – recesso del socio,,Rito ordinario – Tribunale delle Imprese,prescrizione_decadenza,Contestazione perizia sindaci,30,,,,DECADENZIALE,,,calcolabile_giorni,True,forward,admin,GP_TERM_D00F057991AA,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_set26_p1.json,GUIDA_ADOZIONE_DEL_MAGGIORENNE_ARTT_291_314_C_C_PROCEDIMENTO_E_REVOCA_120065,Adozione del maggiorenne (artt. 291-314 c.c.) – procedimento e revoca,Persone e famiglia – adozione del maggiorenne,,Procedimento in camera di consiglio davanti al Tribunale Ordinario,generico_da_classificare,Nessun termine – proponibile in qualunque momento,,,,,,,,informativo_non_calcolabile,False,forward,civil,GP_TERM_7ADBC9E4E915,Manca unita' numerica o decorrenza calcolabile.
pct\data\legal_knowledge_base_modules\kb_98_set26_p2.json,411602,Ordine di protezione contro gli abusi familiari (artt. 342-bis e 342-ter c.c.),Persone e famiglia – tutela dalla violenza domestica,,Procedimento urgente davanti al Tribunale sezione famiglia – inaudita altera parte se necessario,procedimentale,Procedimento urgente – senza termine; ordine dura 12 mesi + proroga,,,,,,,,informativo_non_calcolabile,False,forward,civil,GP_TERM_779F5756E5E3,Manca unita' numerica o decorrenza calcolabile.
pct\data\legal_knowledge_base_modules\kb_98_set26_p2.json,GUIDA_FUSIONE_DI_SOCIET_OPPOSIZIONE_DEI_CREDITORI_E_TUTELA_ARTT_2503_2503_BIS__150085,Fusione di società: opposizione dei creditori e tutela (artt. 2503-2503-bis c.c.),Diritto societario – operazioni straordinarie – fusione,,Rito ordinario – Tribunale delle Imprese,impugnazione,OPPOSIZIONE,60,,,pubblicazione progetto di fusione,DECADENZIALE,,MASSIMA,calcolabile_giorni,True,forward,admin,GP_TERM_149A762344D3,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_set26_p2.json,GUIDA_RIMBORSO_IVA_CONTESTAZIONE_DEL_RIGETTO_E_AZIONE_GIUDIZIARIA_ART_30_DPR_6_512060,Rimborso IVA: contestazione del rigetto e azione giudiziaria (art. 30 DPR 633/1972 + D.Lgs. 546/1992),Diritto tributario – IVA – rimborso,,Rito tributario davanti alla CORTE DI GIUSTIZIA TRIBUTARIA I GRADO,deposito,RICORSO CGT,60,,,diniego o silenzio-rigetto,DECADENZIALE,,MASSIMA,calcolabile_giorni,True,forward,tax,GP_TERM_FFFBCB170B19,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_set26_p2.json,GUIDA_RIMBORSO_IVA_CONTESTAZIONE_DEL_RIGETTO_E_AZIONE_GIUDIZIARIA_ART_30_DPR_6_512060,Rimborso IVA: contestazione del rigetto e azione giudiziaria (art. 30 DPR 633/1972 + D.Lgs. 546/1992),Diritto tributario – IVA – rimborso,,Rito tributario davanti alla CORTE DI GIUSTIZIA TRIBUTARIA I GRADO,prescrizione_decadenza,Prescrizione diritto al rimborso,,,10,,,,,termine_lungo_o_prescrizione,False,forward,tax,GP_TERM_4CAAE53C5F55,"Da registrare come regola/profilo, non come calcolo processuale ordinario."
pct\data\legal_knowledge_base_modules\kb_98_set26_p2.json,GUIDA_CONTO_CORRENTE_ORDINARIO_CONTESTAZIONE_DEL_SALDO_APPROVAZIONE_DEL_RENDIC_143065,"Conto corrente ordinario: contestazione del saldo, approvazione del rendiconto e pagamento (artt. 1832-1833 c.c.)",Contratti – conto corrente ordinario (non bancario),,Rito ordinario di cognizione; decreto ingiuntivo se saldo approvato,notifica,Contestazione rendiconto: 6 MESI dalla comunicazione – DECADENZIALE,,,,,,,,informativo_non_calcolabile,False,forward,civil,GP_TERM_59E3C18DBF92,Manca unita' numerica o decorrenza calcolabile.
