codice,denominazione,profilo,profilo_label,termini_processuali,fonti_ufficiali,quality_hint
030021,Intimazione di licenza o di sfratto per cessazione del rapporto di locazione d'opera (art. 659 c.p.c.),contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
050001,Procedimento di Ingiunzione Ante Causam,monitorio,Procedimento monitorio,4,5,curata_codex_fonti_ufficiali
051001,Sequestro conservativo ex art. 671 c.p.c.,cautelare,Procedimento cautelare,3,5,curata_codex_fonti_ufficiali
051002,Sequestro giudiziario ex art. 670 c.p.c.,cautelare,Procedimento cautelare,3,5,curata_codex_fonti_ufficiali
051003,Sequestro (liberatorio) ex art. 687 c.p.c.,cautelare,Procedimento cautelare,3,5,curata_codex_fonti_ufficiali
052001,Prova testimoniale e/o Accertamento tecnico preventivo,atp_istruzione_preventiva,ATP e istruzione preventiva,3,5,curata_codex_fonti_ufficiali
052011,Ispezione preventiva,cautelare,Procedimento cautelare,3,5,curata_codex_fonti_ufficiali
053001,"Inibitoria(art.63R.D.n.929/1942,art.83R.D.n.1127/1939,L n.52/1996,d.lgs.30/2005)",cautelare,Procedimento cautelare,3,5,curata_codex_fonti_ufficiali
055011,Provvedimenti d'urgenza ex art. 700 c.p.c,cautelare,Procedimento cautelare,3,5,curata_codex_fonti_ufficiali
059999,Altri procedimenti cautelari in materia di diritto societario ecc.,cautelare,Procedimento cautelare,3,5,curata_codex_fonti_ufficiali
100019,Opposizione all'esecuzione mobiliare e immobiliare riassunta davanti al Giudice di Pace,impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
100999,PROVA,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
101004,Revocazione per contrarietà alla Convenzione europea dei diritti dell'uomo ex art. 391-quater,impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
101005,"Ricorso al Presidente del Tribunale per ricusazione arbitro (art. 815, comma 3 cpc)",contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
101011,Rogatorie civili,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
101012,Prova Delegata,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
102011,Privilegio,volontaria_giurisdizione,Volontaria giurisdizione,3,6,curata_codex_fonti_ufficiali
103001,Questioni di diritto della navigazione (esclusi i contratti di trasporto),contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
104001,Controversie di competenza del Tribunale Regionale delle Acque Pubbliche,impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
105001,Usi civici,impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
106003,Espropriazione,impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
106004,Azione di nullita e risarcimento in materia di tutela della concorrenza e del mercato (art. 33 L. n. 287/90),impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
106005,Opposizione avverso il decreto di esecutivita sentenze in materia civile e commerciale di cui alle convenzioni di Bruxelles e Lugano (L. 804/71),impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
106007,Reclamo ex art. 818-bis cpc,impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
106502,Accertamento requisiti sentenze straniere in materia diversa da quella matrimoniale (art. 67 L. n. 218/95),impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
108001,Istanza di conciliazione,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
109999,Altri istituti e leggi speciali,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
110000,Altre ipotesi di cui al comma 3 art. 3 L.46/2017,famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
110011,"Diritti della personalita (anche della persona giuridica) (es.: identita personale, nome, immagine, onore e reputazione, riservatezza)",famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
110021,Diritti di elettorato attivo e passivo,famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
110022,Diritti della cittadinanza,famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
110023,Riconoscimento dello stato di apolidia,famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
110033,Riconoscimento diritto di soggiorno cittadini UE (art. 8. Dlgs 30/2007),famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
110034,Impugnazione provvedimento di allontanamento ex art. 20 e 21 D.Lgs 30/2007,impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
110035,Impugnazioni Unita' Dublino UE 604/2013,impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
110036,Convalida del provvedimento di trattenimento o proroga del trattenimento,famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
110037,Ricongiungimento familiare (art.30),famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
110038,Impugnazione avverso diniego/revoca di rilascio/rinnovo permesso di soggiorno,impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
110039,Impugnazione avverso diniego di visto di ingresso per motivi di ricongiungimento familiare da parte dell’autorita' consolare,impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
110040,Impugnazione diniego protezione umanitaria da parte del Questore,impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
110041,Convalida del provvedimento del questore di accompagnamento immediato alla frontiera,famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
110044,Reclamo avverso diniego sospensione provvedimento,impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
110045,Convalida dei provvedimenti di trattenimento per i cittadini comunitari,famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
110999,Altri istituti relativi allo stato della persona ed ai diritti della personalita,famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
111003,Separazione consensuale e divorzio congiunto (Cessazione effetti civili),famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
111004,Separazione consensuale e divorzio congiunto (Scioglimento matrimonio),famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
111005,Modifica delle condizioni di separazione (contenzioso),famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
111010,Modifica delle condizioni di separazione (ricorso congiunto),famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
111011,Divorzio congiunto,famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
111013,Modifica delle condizioni di divorzio (contenzioso),famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
111014,Modifica delle condizioni di divorzio (ricorso congiunto),famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
111021,Divorzio congiunto - Scioglimento matrimonio,famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
111022,Divorzio contenzioso - Scioglimento matrimonio,famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
111023,Separazione giudiziale e divorzio congiunto (Cessazione effetti civili),famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
111024,Separazione giudiziale e divorzio contenzioso (Cessazione effetti civili),famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
111101,Filiazione legittima,famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
111102,Filiazione naturale,famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
111104,Attuazione dei provvedimenti sull'affidamento,famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
111105,Dichiarazione giudiziale di paternità e maternità naturale - ammissibilita',famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
111106,Regolamentazione dell'esercizio della responsabilità genitoriale (contenzioso),famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
111107,Regolamentazione dell'esercizio della responsabilità genitoriale (ricorso congiunto),famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
111108,Modifica condizioni regolamentaz. esercizio responsabilità genitoriale (contenzioso),famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
111109,Modifica condizioni regolamentaz. esercizio responsabilità genitoriale (ricorso congiunto),famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
111110,Azione di dichiarazione giudiziale di paternità o maternità riguardante minori (art.274 Cod. Civ.) (contenzioso),famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
111111,Impugnazione di riconoscimento di paternità o maternità riguardante minori (artt.74 e 264 Cod. Civ.) (contenzioso),impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
111201,Matrimonio (promessa di matrimonio ex artt. 79-81 c.c. - opposizione al matrimonio ex artt. 102 - 104 c.c. - impugnazione del matrimonio ex artt. 117 e ss. c.c.),impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
111211,Regime Patrimoniale: della famiglia ex artt. 159 e ss. c.c.,famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
111212,Regime Patrimoniale della famiglia di fatto,famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
111213,Attribuzione di quota di pensione e di indennità di fine rapporto lavorativo,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
111214,Fondo patrimoniale (artt. 167 e ss. c.c.),famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
111215,Sostituzione dell'amministratore del patrimonio familiare,famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
111216,Sequestro dei beni del coniuge separato (art. 156 c.c.),cautelare,Procedimento cautelare,3,5,curata_codex_fonti_ufficiali
111217,Fondo di solidarietà a tutela del coniuge in stato di bisogno,famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
111401,Mutamento di sesso,famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
111402,Stato civile (rettifica del nome e altri atti dello Stato civile),famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
111403,Dichiarazione di assenza o di morte presunta (COLLEGIO),famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
111404,Adozione di maggiorenni,famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
111501,Esecutorieta sentenza Sacra Rota nullita di matrimonio (L. 121/85),famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
111502,Accertamento dei requisiti sentenza straniera di divorzio (art. 67 L. 218/95),famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
111503,Istanza per la nomina del curatore speciale del minore,famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
111504,"Matrimonio (pubbl.ni matrimoniali ex artt. 93 e ss. cc, nulla osta al matrim.)",famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
111601,Misure di protezione contro gli abusi familiari (art. 473 bis.71 c.p.c.),famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
111602,"Ricorso per violenza domestica o di genere ex artt. 473 bis.40, 473 bis. 41, 73 bis.42",famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
111604,Istanza per la nomina del curatore speciale del minore,famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
111999,"Altri istituti di diritto di famiglia (es.: mantenimento figli naturali e legittimi, etc.)",famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
112001,Deprecato per iscrizione in secondo grado - Interdizione di minori,famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
112002,Deprecato per iscrizione in secondo grado - Inabilitazione di minori,famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
112102,Riconoscimento di figlio naturale (art. 250 c.c.),famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
112104,Regolamentazione rapporti con gli ascendenti (art. 317-bis Cod. Civ.),famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
112105,Controllo della responsabilità genitoriale sui figli (art. 330 - 333 Cod. Civ.),famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
112106,Convalida del provvedimento ex art. 403 CC,famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
112107,Affidamento minori (post Riforma Cartabia),famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
112108,Istanza ex art. 473 bis.69 Cpc (Ordini di protezione contro gli abusi familiari su soggetto minore),famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
112109,Provvedimenti indifferibili (Art. 473 bis.15 C.p.c.),famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
112110,Attuazione dei provvedimenti sull'affidamento (Art. 473 bis.38 Cpc),famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
112111,Provvedimenti in caso di inadempienze o violazioni (Art. 473 bis.39 C.p.c.),famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
112202,"Disconoscimento di figlio naturale (art. 250, 233, 244 c.c.)",famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
112999,Altri procedimenti in materia minorile,famiglia_minori,"Persone, famiglia e minorenni",3,7,curata_codex_fonti_ufficiali
118001,Controversie di competenza del TSAP ex art. 142 rd 1775/1933,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
118002,Controversie di competenza del TSAP ex art. 143 rd 1775/1933,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
118003,Revocazione ex art. 199 rd 1775/1933,impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
118004,Rettificazione sentenza ex art. 204 rd 1775/1933,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
118099,Altre controversie di competenza del TSAP,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
129999,Altri istituti relativi alle successioni,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
130011,Superficie,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
130021,Enfiteusi,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
130031,Usufrutto,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
130032,Abitazione - Uso,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
130052,tabelle millesimali,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
130099,altri rapporti condominiali,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
130111,Apposizione di termini,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
130131,Osservanza distanze riguardo alberi/siepi,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
131001,Diritti ed obblighi del possessore non riconducibili alle azioni di reintegrazione e manutenzione),contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
131011,Divisione di beni non caduti in successione,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
131101,Diritti ed obblighi del possessore non riconducibili alle azioni di reintegrazione e manutenzione),contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
132001,Pegno - Ipoteca - Trascrizione e pubblicita di beni immobili e mobili,volontaria_giurisdizione,Volontaria giurisdizione,3,6,curata_codex_fonti_ufficiali
139999,Altri istituti in materia di diritti reali possesso e trascrizioni,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
140001,Cessione dei crediti,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
140002,Arbitraggio - Perizia contrattuale,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
140012,Vendita di cose mobili,esecuzione,Esecuzione forzata,5,5,curata_codex_fonti_ufficiali
140021,Appalto di opere pubbliche,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
140031,Somministrazione,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
140032,Locazione di beni mobili,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
140033,"Spedizione - Trasporto (nazionale, internazionale, terrestre, aereo, marittimo, misto)",contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
140034,Mandato,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
140035,Agenzia,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
140036,Mediazione,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
140037,Deposito,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
140038,Mutuo,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
140039,Transazione,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
140051,Assicurazione contro i danni,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
140052,Assicurazione sulla vita,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
140061,Fideiussione - Polizza fideiussoria,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
140101,Promessa di pagamento - Ricognizione di debito,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
140102,Titoli di credito,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
140111,Indebito soggettivo - Indebito oggettivo,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
140112,Arricchimento senza causa,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
140999,Altri contratti tipici ed obbligazioni non rientranti nelle altre materie,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
141001,Donazione,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
142001,Prestazione d'opera intellettuale,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
142999,Altri contratti d'opera,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
143101,Cessione di azienda,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
143102,Concessione di vendita,esecuzione,Esecuzione forzata,5,5,curata_codex_fonti_ufficiali
143103,Distribuzione,esecuzione,Esecuzione forzata,5,5,curata_codex_fonti_ufficiali
143104,Licenza d'uso,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
143105,Noleggio,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
143106,Subfomitura,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
143111,Factoring,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
143112,Franchising,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
143121,Leasing,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
143131,Intermediazione finanziaria (S.I.M.) - Contratti di Borsa,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
143999,Altri contratti atipici,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
144001,"Cessazione del contratto di locazione alla scadenza, uso abitativo",contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
144002,"Cessazione del contratto di locazione alla scadenza, uso diverso",contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
144011,Recesso dal contratto del Conduttore uso abitativo,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
144012,Recesso dal contratto del Conduttore uso diverso,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
144031,"Cause relative alla validita o efficacia del contratto o di singole clausole (azione di simulazione, nullita, annullamento, etc.)",contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
144032,Pagamento del corrispettivo - Indennita di avviamento - Ripetizione di indebito - Risarcimento del danno,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
144033,"Diritto di prelazione - diritto di riscatto del conduttore (ex L. n. 392/1978, ex L. n.431/1998 e altre leggi speciali)",contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
144101,Affitto di azienda,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
144301,Comodato di immobile urbano,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
144999,Altri istituti del diritto delle locazioni,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
145009,Azioni di competenza del Giudice di Pace in materia di risarcimento danno,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
145011,"Responsabilita dei genitori, dei tutori e dei maestri (art. 2048 c.c.)",contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
145012,Responsabilita per l'esercizio di attivita pericolose (art. 2050 c.c.),contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
145013,Responsabilita ex artt. 2049 - 2051 - 2052 c.c.,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
145014,Rovina di edificio (art. 2053c.c.),contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
145021,Responsabilita del produttore,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
145111,Responsabilita civile dei magistrati (cause di cui alla legge n. 117/1988),contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
145999,Altre ipotesi di responsabilita Extracontrattuale non ricomprese nelle altre materie (art. 2043 c.c. e norme speciali),contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
146041,"Contratti bancari (deposito bancario, cassetta di sicurezza, apertura di credito bancario, anticipazione bancaria, conto corrente bancario, sconto bancario) cui non si applica il d.l.vo n. 5/2003",contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
146231,"Intermed. mobiliare (servizi e contratti di invest.,servizi accessori,fondi di invest., gestione collettiva del risparmio,gestione accentrata di strumenti finan.,vendita di prodotti finanz.,cartolarizzazione di crediti,contratti di borsa)",esecuzione,Esecuzione forzata,5,5,curata_codex_fonti_ufficiali
146232,Credito per le opere pubbliche (lett. f art. 1 d.l.vo n. 5/2003),contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
146239,Altri contratti bancari e controversie in genere di cui alla lettera e) art. 1 d.l.vo n. 5/2003,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
146331,"Pagamento di somma di danaro o consegna di cosa mobile in materia di controversie promosse da una banca nei confronti di altra banca e di cui alle lettere e), f) art. 1 d.l.vo n. 5/2003",contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
150001,Associazione - Comitato,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
150002,Associazione in partecipazione,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
150003,Consorzio,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
150004,Fondazione,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
150999,Altri istituti relativi alle persone giuridiche,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
